sentence_id,sentence,congruent,structure,length,target,position,most_popular,percent,semantics_grammar,semantics,grammar,no,unknown,subject,verb,object,gen,adj,subject_lemma,subject_length,subject_gender,subject_ipm,verb_lemma,verb_length,verb_ipm,object_lemma,object_length,object_gender,object_ipm,gen_lemma,gen_length,gen_gender,gen_ipm,adj_lemma,adj_length,adj_gender,adj_ipm
8.0,Артиллеристы подготовили орудию,Артиллеристы подготовили орудия,Subject - Verb - Object,3.0,grammar,2.0,grammar,1.0,,,1.0,,,артиллеристы,подготовили,орудия,nan,nan,артиллерист,5.0,masc,7.69,подготовить,5.0,47.3,орудие,4.0,neut,71.67,nan,,nan,0.02,nan,,nan,0.02
8.0,Артиллеристы подготовили орудия,Артиллеристы подготовили орудия,Subject - Verb - Object,3.0,normal,2.0,normal,1.0,,,,1.0,,артиллеристы,подготовили,орудия,nan,nan,артиллерист,5.0,masc,7.69,подготовить,5.0,47.3,орудие,4.0,neut,71.67,nan,,nan,0.02,nan,,nan,0.02
11.0,Барабанщик покинул группу,Барабанщик покинул группу,Subject - Verb - Object,3.0,normal,2.0,normal,1.0,,,,1.0,,барабанщик,покинул,группу,nan,nan,барабанщик,4.0,masc,2.8,покинуть,3.0,50.49,группа,2.0,femn,253.9644981949859,nan,,nan,0.02,nan,,nan,0.02
11.0,Барабанщик покинул группы,Барабанщик покинул группу,Subject - Verb - Object,3.0,grammar,2.0,grammar,1.0,,,1.0,,,барабанщик,покинул,группу,nan,nan,барабанщик,4.0,masc,2.8,покинуть,3.0,50.49,группа,2.0,femn,253.9644981949859,nan,,nan,0.02,nan,,nan,0.02
11.0,Барабанщик покинул записке,Барабанщик покинул группу,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,барабанщик,покинул,группу,nan,nan,барабанщик,4.0,masc,2.8,покинуть,3.0,50.49,группа,2.0,femn,253.9644981949859,nan,,nan,0.02,nan,,nan,0.02
11.0,Барабанщик покинул записку,Барабанщик покинул группу,Subject - Verb - Object,3.0,semantics,2.0,semantics,0.8333333333333334,0.1666666666666666,0.8333333333333334,,,,барабанщик,покинул,группу,nan,nan,барабанщик,4.0,masc,2.8,покинуть,3.0,50.49,группа,2.0,femn,253.9644981949859,nan,,nan,0.02,nan,,nan,0.02
12.0,Бастующие требуют местечке зарплаты,Бастующие требуют повышения зарплаты,Subject - Verb - Object - Gen,4.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,бастующие,требуют,повышения,зарплаты,nan,бастовать,5.0,nan,3.01,требовать,3.0,214.7950470553509,повышение,5.0,neut,43.32,зарплата,3.0,femn,33.35,nan,,nan,0.02
12.0,Бастующие требуют местечко зарплаты,Бастующие требуют повышения зарплаты,Subject - Verb - Object - Gen,4.0,semantics,2.0,semantics_grammar,1.0,1.0,,,,,бастующие,требуют,повышения,зарплаты,nan,бастовать,5.0,nan,3.01,требовать,3.0,214.7950470553509,повышение,5.0,neut,43.32,зарплата,3.0,femn,33.35,nan,,nan,0.02
12.0,Бастующие требуют повышением зарплаты,Бастующие требуют повышения зарплаты,Subject - Verb - Object - Gen,4.0,grammar,2.0,grammar,1.0,,,1.0,,,бастующие,требуют,повышения,зарплаты,nan,бастовать,5.0,nan,3.01,требовать,3.0,214.7950470553509,повышение,5.0,neut,43.32,зарплата,3.0,femn,33.35,nan,,nan,0.02
12.0,Бастующие требуют повышения зарплаты,Бастующие требуют повышения зарплаты,Subject - Verb - Object - Gen,4.0,normal,2.0,normal,1.0,,,,1.0,,бастующие,требуют,повышения,зарплаты,nan,бастовать,5.0,nan,3.01,требовать,3.0,214.7950470553509,повышение,5.0,neut,43.32,зарплата,3.0,femn,33.35,nan,,nan,0.02
14.0,Бизнесмен отрицал вёсла,Бизнесмен отрицал обвинения,Subject - Verb - Object,3.0,semantics,2.0,semantics,0.875,0.125,0.875,,,,бизнесмен,отрицал,обвинения,nan,nan,бизнесмен,3.0,masc,10.67,отрицать,3.0,30.51,обвинение,5.0,neut,36.92,nan,,nan,0.02,nan,,nan,0.02
14.0,Бизнесмен отрицал вёслах,Бизнесмен отрицал обвинения,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,0.75,0.75,0.25,,,,бизнесмен,отрицал,обвинения,nan,nan,бизнесмен,3.0,masc,10.67,отрицать,3.0,30.51,обвинение,5.0,neut,36.92,nan,,nan,0.02,nan,,nan,0.02
14.0,Бизнесмен отрицал обвинения,Бизнесмен отрицал обвинения,Subject - Verb - Object,3.0,normal,2.0,normal,1.0,,,,1.0,,бизнесмен,отрицал,обвинения,nan,nan,бизнесмен,3.0,masc,10.67,отрицать,3.0,30.51,обвинение,5.0,neut,36.92,nan,,nan,0.02,nan,,nan,0.02
14.0,Бизнесмен отрицал обвинениях,Бизнесмен отрицал обвинения,Subject - Verb - Object,3.0,grammar,2.0,grammar,1.0,,,1.0,,,бизнесмен,отрицал,обвинения,nan,nan,бизнесмен,3.0,masc,10.67,отрицать,3.0,30.51,обвинение,5.0,neut,36.92,nan,,nan,0.02,nan,,nan,0.02
15.0,Бизнесмен оформил налоговый вычет,Бизнесмен оформил налоговый вычет,Subject - Verb - Adj - Object,4.0,normal,3.0,normal,1.0,,,,1.0,,бизнесмен,оформил,вычет,nan,налоговый,бизнесмен,3.0,masc,10.67,оформить,3.0,15.51,вычет,2.0,masc,3.92,nan,,nan,0.02,налоговый,4.0,masc,23.76
15.0,Бизнесмен оформил налоговый вычетом,Бизнесмен оформил налоговый вычет,Subject - Verb - Adj - Object,4.0,grammar,3.0,grammar,1.0,,,1.0,,,бизнесмен,оформил,вычет,nan,налоговый,бизнесмен,3.0,masc,10.67,оформить,3.0,15.51,вычет,2.0,masc,3.92,nan,,nan,0.02,налоговый,4.0,masc,23.76
15.0,Бизнесмен оформил налоговый олимп,Бизнесмен оформил налоговый вычет,Subject - Verb - Adj - Object,4.0,semantics,3.0,semantics,0.8571428571428571,,0.8571428571428571,,0.1428571428571428,,бизнесмен,оформил,вычет,nan,налоговый,бизнесмен,3.0,masc,10.67,оформить,3.0,15.51,вычет,2.0,masc,3.92,nan,,nan,0.02,налоговый,4.0,masc,23.76
15.0,Бизнесмен оформил налоговый олимпе,Бизнесмен оформил налоговый вычет,Subject - Verb - Adj - Object,4.0,semantics_grammar,3.0,semantics_grammar,1.0,1.0,,,,,бизнесмен,оформил,вычет,nan,налоговый,бизнесмен,3.0,masc,10.67,оформить,3.0,15.51,вычет,2.0,masc,3.92,nan,,nan,0.02,налоговый,4.0,masc,23.76
19.0,Вердикт носит рекомендательный характер,Вердикт носит рекомендательный характер,Subject - Verb - Adj - Object,4.0,normal,3.0,normal,1.0,,,,1.0,,вердикт,носит,характер,nan,рекомендательный,вердикт,2.0,masc,2.13,носить,2.0,122.820144399796,характер,3.0,masc,202.9910670978146,nan,,nan,0.02,рекомендательный,6.0,masc,2.3
19.0,Вердикт носит рекомендательный характеру,Вердикт носит рекомендательный характер,Subject - Verb - Adj - Object,4.0,grammar,3.0,grammar,0.8333333333333334,,0.0833333333333333,0.8333333333333334,0.0833333333333333,,вердикт,носит,характер,nan,рекомендательный,вердикт,2.0,masc,2.13,носить,2.0,122.820144399796,характер,3.0,masc,202.9910670978146,nan,,nan,0.02,рекомендательный,6.0,masc,2.3
19.0,Вердикт носит рекомендательный январь,Вердикт носит рекомендательный характер,Subject - Verb - Adj - Object,4.0,semantics,3.0,semantics,1.0,,1.0,,,,вердикт,носит,характер,nan,рекомендательный,вердикт,2.0,masc,2.13,носить,2.0,122.820144399796,характер,3.0,masc,202.9910670978146,nan,,nan,0.02,рекомендательный,6.0,masc,2.3
19.0,Вердикт носит рекомендательный январю,Вердикт носит рекомендательный характер,Subject - Verb - Adj - Object,4.0,semantics_grammar,3.0,semantics_grammar,1.0,1.0,,,,,вердикт,носит,характер,nan,рекомендательный,вердикт,2.0,masc,2.13,носить,2.0,122.820144399796,характер,3.0,masc,202.9910670978146,nan,,nan,0.02,рекомендательный,6.0,masc,2.3
22.0,Владелец игнорировал лета,Владелец игнорировал обращения,Subject - Verb - Object,3.0,semantics,2.0,semantics,1.0,,1.0,,,,владелец,игнорировал,обращения,nan,nan,владелец,3.0,masc,43.62,игнорировать,5.0,9.64,обращение,5.0,neut,55.75,nan,,nan,0.02,nan,,nan,0.02
22.0,Владелец игнорировал лету,Владелец игнорировал обращения,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,владелец,игнорировал,обращения,nan,nan,владелец,3.0,masc,43.62,игнорировать,5.0,9.64,обращение,5.0,neut,55.75,nan,,nan,0.02,nan,,nan,0.02
22.0,Владелец игнорировал обращению,Владелец игнорировал обращения,Subject - Verb - Object,3.0,grammar,2.0,grammar,0.7777777777777778,,0.2222222222222222,0.7777777777777778,,,владелец,игнорировал,обращения,nan,nan,владелец,3.0,masc,43.62,игнорировать,5.0,9.64,обращение,5.0,neut,55.75,nan,,nan,0.02,nan,,nan,0.02
22.0,Владелец игнорировал обращения,Владелец игнорировал обращения,Subject - Verb - Object,3.0,normal,2.0,normal,1.0,,,,1.0,,владелец,игнорировал,обращения,nan,nan,владелец,3.0,masc,43.62,игнорировать,5.0,9.64,обращение,5.0,neut,55.75,nan,,nan,0.02,nan,,nan,0.02
24.0,Владельцы подсчитывают зарю ущерба,Владельцы подсчитывают сумму ущерба,Subject - Verb - Object - Gen,4.0,semantics,2.0,semantics,1.0,,1.0,,,,владельцы,подсчитывают,сумму,ущерба,nan,владелец,3.0,masc,43.62,подсчитывать,5.0,3.59,сумма,2.0,femn,90.2,ущерб,3.0,masc,21.54,nan,,nan,0.02
24.0,Владельцы подсчитывают заря ущерба,Владельцы подсчитывают сумму ущерба,Subject - Verb - Object - Gen,4.0,semantics_grammar,2.0,semantics_grammar,0.8333333333333334,0.8333333333333334,0.1666666666666666,,,,владельцы,подсчитывают,сумму,ущерба,nan,владелец,3.0,masc,43.62,подсчитывать,5.0,3.59,сумма,2.0,femn,90.2,ущерб,3.0,masc,21.54,nan,,nan,0.02
24.0,Владельцы подсчитывают сумме ущерба,Владельцы подсчитывают сумму ущерба,Subject - Verb - Object - Gen,4.0,grammar,2.0,grammar,1.0,,,1.0,,,владельцы,подсчитывают,сумму,ущерба,nan,владелец,3.0,masc,43.62,подсчитывать,5.0,3.59,сумма,2.0,femn,90.2,ущерб,3.0,masc,21.54,nan,,nan,0.02
24.0,Владельцы подсчитывают сумму ущерба,Владельцы подсчитывают сумму ущерба,Subject - Verb - Object - Gen,4.0,normal,2.0,normal,1.0,,,,1.0,,владельцы,подсчитывают,сумму,ущерба,nan,владелец,3.0,masc,43.62,подсчитывать,5.0,3.59,сумма,2.0,femn,90.2,ущерб,3.0,masc,21.54,nan,,nan,0.02
25.0,Власти запретили детстве митинга,Власти запретили проведение митинга,Subject - Verb - Object - Gen,4.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,власти,запретили,проведение,митинга,nan,власть,2.0,femn,358.6754145196565,запретить,4.0,49.89,проведение,5.0,neut,49.41,митинг,3.0,masc,21.04,nan,,nan,0.02
25.0,Власти запретили детство митинга,Власти запретили проведение митинга,Subject - Verb - Object - Gen,4.0,semantics,2.0,semantics,1.0,,1.0,,,,власти,запретили,проведение,митинга,nan,власть,2.0,femn,358.6754145196565,запретить,4.0,49.89,проведение,5.0,neut,49.41,митинг,3.0,masc,21.04,nan,,nan,0.02
25.0,Власти запретили проведение митинга,Власти запретили проведение митинга,Subject - Verb - Object - Gen,4.0,normal,2.0,normal,1.0,,,,1.0,,власти,запретили,проведение,митинга,nan,власть,2.0,femn,358.6754145196565,запретить,4.0,49.89,проведение,5.0,neut,49.41,митинг,3.0,masc,21.04,nan,,nan,0.02
25.0,Власти запретили проведению митинга,Власти запретили проведение митинга,Subject - Verb - Object - Gen,4.0,grammar,2.0,grammar,1.0,,,1.0,,,власти,запретили,проведение,митинга,nan,власть,2.0,femn,358.6754145196565,запретить,4.0,49.89,проведение,5.0,neut,49.41,митинг,3.0,masc,21.04,nan,,nan,0.02
28.0,Власти подтвердили поколение,Власти подтвердили сообщение,Subject - Verb - Object,3.0,semantics,2.0,semantics,0.8571428571428571,,0.8571428571428571,,0.1428571428571428,,власти,подтвердили,сообщение,nan,nan,власть,2.0,femn,358.6754145196565,подтвердить,4.0,51.35,сообщение,5.0,neut,81.3,nan,,nan,0.02,nan,,nan,0.02
28.0,Власти подтвердили поколении,Власти подтвердили сообщение,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,власти,подтвердили,сообщение,nan,nan,власть,2.0,femn,358.6754145196565,подтвердить,4.0,51.35,сообщение,5.0,neut,81.3,nan,,nan,0.02,nan,,nan,0.02
28.0,Власти подтвердили сообщение,Власти подтвердили сообщение,Subject - Verb - Object,3.0,normal,2.0,normal,1.0,,,,1.0,,власти,подтвердили,сообщение,nan,nan,власть,2.0,femn,358.6754145196565,подтвердить,4.0,51.35,сообщение,5.0,neut,81.3,nan,,nan,0.02,nan,,nan,0.02
28.0,Власти подтвердили сообщению,Власти подтвердили сообщение,Subject - Verb - Object,3.0,grammar,2.0,grammar,1.0,,,1.0,,,власти,подтвердили,сообщение,nan,nan,власть,2.0,femn,358.6754145196565,подтвердить,4.0,51.35,сообщение,5.0,neut,81.3,nan,,nan,0.02,nan,,nan,0.02
29.0,Власти прокомментировали инцидент,Власти прокомментировали инцидент,Subject - Verb - Object,3.0,normal,2.0,normal,1.0,,,,1.0,,власти,прокомментировали,инцидент,nan,nan,власть,2.0,femn,358.6754145196565,прокомментировать,7.0,3.84,инцидент,3.0,masc,9.97,nan,,nan,0.02,nan,,nan,0.02
29.0,Власти прокомментировали инцидента,Власти прокомментировали инцидент,Subject - Verb - Object,3.0,grammar,2.0,grammar,1.0,,,1.0,,,власти,прокомментировали,инцидент,nan,nan,власть,2.0,femn,358.6754145196565,прокомментировать,7.0,3.84,инцидент,3.0,masc,9.97,nan,,nan,0.02,nan,,nan,0.02
29.0,Власти прокомментировали исток,Власти прокомментировали инцидент,Subject - Verb - Object,3.0,semantics,2.0,semantics,1.0,,1.0,,,,власти,прокомментировали,инцидент,nan,nan,власть,2.0,femn,358.6754145196565,прокомментировать,7.0,3.84,инцидент,3.0,masc,9.97,nan,,nan,0.02,nan,,nan,0.02
29.0,Власти прокомментировали истоке,Власти прокомментировали инцидент,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,власти,прокомментировали,инцидент,nan,nan,власть,2.0,femn,358.6754145196565,прокомментировать,7.0,3.84,инцидент,3.0,masc,9.97,nan,,nan,0.02,nan,,nan,0.02
31.0,Водитель нажал тревожную кнопки,Водитель нажал тревожную кнопку,Subject - Verb - Adj - Object,4.0,grammar,3.0,grammar,1.0,,,1.0,,,водитель,нажал,кнопку,nan,тревожную,водитель,3.0,masc,30.91,нажать,2.0,13.48,кнопка,2.0,femn,17.11,nan,,nan,0.02,тревожный,4.0,masc,28.25
31.0,Водитель нажал тревожную кнопку,Водитель нажал тревожную кнопку,Subject - Verb - Adj - Object,4.0,normal,3.0,normal,0.8888888888888888,,0.1111111111111111,,0.8888888888888888,,водитель,нажал,кнопку,nan,тревожную,водитель,3.0,masc,30.91,нажать,2.0,13.48,кнопка,2.0,femn,17.11,nan,,nan,0.02,тревожный,4.0,masc,28.25
31.0,Водитель нажал тревожную родине,Водитель нажал тревожную кнопку,Subject - Verb - Adj - Object,4.0,semantics_grammar,3.0,semantics_grammar,1.0,1.0,,,,,водитель,нажал,кнопку,nan,тревожную,водитель,3.0,masc,30.91,нажать,2.0,13.48,кнопка,2.0,femn,17.11,nan,,nan,0.02,тревожный,4.0,masc,28.25
31.0,Водитель нажал тревожную родину,Водитель нажал тревожную кнопку,Subject - Verb - Adj - Object,4.0,semantics,3.0,semantics,0.875,,0.875,0.125,,,водитель,нажал,кнопку,nan,тревожную,водитель,3.0,masc,30.91,нажать,2.0,13.48,кнопка,2.0,femn,17.11,nan,,nan,0.02,тревожный,4.0,masc,28.25
32.0,Водитель управлял грузовика,Водитель управлял грузовиком,Subject - Verb - Object,3.0,grammar,2.0,grammar,1.0,,,1.0,,,водитель,управлял,грузовиком,nan,nan,водитель,3.0,masc,30.91,управлять,3.0,52.3354287845793,грузовик,4.0,masc,19.42,nan,,nan,0.02,nan,,nan,0.02
32.0,Водитель управлял грузовиком,Водитель управлял грузовиком,Subject - Verb - Object,3.0,normal,2.0,normal,0.8571428571428571,,0.1428571428571428,,0.8571428571428571,,водитель,управлял,грузовиком,nan,nan,водитель,3.0,masc,30.91,управлять,3.0,52.3354287845793,грузовик,4.0,masc,19.42,nan,,nan,0.02,nan,,nan,0.02
32.0,Водитель управлял урок,Водитель управлял грузовиком,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,водитель,управлял,грузовиком,nan,nan,водитель,3.0,masc,30.91,управлять,3.0,52.3354287845793,грузовик,4.0,masc,19.42,nan,,nan,0.02,nan,,nan,0.02
32.0,Водитель управлял уроком,Водитель управлял грузовиком,Subject - Verb - Object,3.0,semantics,2.0,semantics,1.0,,1.0,,,,водитель,управлял,грузовиком,nan,nan,водитель,3.0,masc,30.91,управлять,3.0,52.3354287845793,грузовик,4.0,masc,19.42,nan,,nan,0.02,nan,,nan,0.02
34.0,Военные открыли ответный огня,Военные открыли ответный огонь,Subject - Verb - Adj - Object,4.0,grammar,3.0,grammar,1.0,,,1.0,,,военные,открыли,огонь,nan,ответный,военный,4.0,masc,291.8,открыть,3.0,208.1800112284692,огонь,2.0,masc,199.3884496854353,nan,,nan,0.02,ответный,3.0,masc,11.97
34.0,Военные открыли ответный огонь,Военные открыли ответный огонь,Subject - Verb - Adj - Object,4.0,normal,3.0,normal,1.0,,,,1.0,,военные,открыли,огонь,nan,ответный,военный,4.0,masc,291.8,открыть,3.0,208.1800112284692,огонь,2.0,masc,199.3884496854353,nan,,nan,0.02,ответный,3.0,masc,11.97
34.0,Военные открыли ответный характер,Военные открыли ответный огонь,Subject - Verb - Adj - Object,4.0,semantics,3.0,semantics,0.9,0.1,0.9,,,,военные,открыли,огонь,nan,ответный,военный,4.0,masc,291.8,открыть,3.0,208.1800112284692,огонь,2.0,masc,199.3884496854353,nan,,nan,0.02,ответный,3.0,masc,11.97
34.0,Военные открыли ответный характеру,Военные открыли ответный огонь,Subject - Verb - Adj - Object,4.0,semantics_grammar,3.0,semantics_grammar,1.0,1.0,,,,,военные,открыли,огонь,nan,ответный,военный,4.0,masc,291.8,открыть,3.0,208.1800112284692,огонь,2.0,masc,199.3884496854353,nan,,nan,0.02,ответный,3.0,masc,11.97
