congruent,base_sent
На конференции участники высказывали новые версии случившегося .,Участники высказывали версии
Суд в целом принял доводы защиты .,Суд принял доводы
Некоторые ситуации носили криминальный оттенок .,Ситуации носили оттенок
Сам дежурный свою вину отрицал .,Дежурный отрицал вину
Затем открыли огонь британские линкоры .,Линкоры открыли огонь
Там будущий драматург организовал забастовку учащихся .,Драматург организовал забастовку
Ее высота составит около шести метров .,Высота составит метров
Однако источники издания подтвердили подлинность документа .,Источники подтвердили подлинность
Народ испугался людей в защитных костюмах .,Народ испугался людей
Представители ведомства начали расследование случившегося .,Представители начали расследование
Российские военнослужащие открывали ответный огонь .,Военнослужащие открывали огонь
Правильные ответы предприниматель поощрял призами .,Предприниматель поощрял ответы
Рубль повторяет динамику нефтяных котировок .,Рубль повторяет динамику
Оба предприятия подтвердили сегодня факт переговоров .,Предприятия подтвердили факт
Все крейсера превысили проектную скорость .,Крейсера превысили скорость
Поэтому сплав обладает столь необычной эффективностью .,Сплав обладает эффективностью
Войска разбили лагеря друг против друга .,Войска разбили лагеря
Компания уже принесла им свои извинения .,Компания принесла извинения
Только тогда австрийская дивизия сложила оружие .,Дивизия сложила оружие
Позже певица принесла публичные извинения .,Певица принесла извинения
Представители рода вызывают бурую гниль .,Представители вызывают гниль
В краску люди положили детские игрушки .,Люди положили игрушки
В результате автомобиль получил технические повреждения .,Автомобиль получил повреждения
Его стоимость составляет один миллион долларов .,Стоимость составляет долларов
Новая работа усиливает этот результат .,Работа усиливает результат
"Получив объяснения , полицейские пропустили активистов .",Полицейские пропустили активистов
За месяц ролик посмотрели миллионы людей .,Миллионы посмотрели ролик
Кончину певца подтвердила местная полиция .,Полиция подтвердила кончину
Эта реформа вызвала многочисленные акции протеста .,Реформа вызвала акции
В результате падения мужчина получил травмы .,Мужчина получил травмы
Мужчина снял повреждения на кабине .,Мужчина снял повреждения
Активисты попросили убежища девять месяцев назад .,Активисты попросили убежища
Сама встреча имела политический оттенок .,Встреча имела оттенок
Сам журналист пока не прокомментировал ситуацию .,Журналист прокомментировал ситуацию
Следственные органы устанавливают личности убитых .,Органы устанавливают личности
По прибытии мальчик выбросил книгу со злостью .,Мальчик выбросил книгу
Три рукоятки обеспечивают удобство обращения .,Рукоятки обеспечивают удобство
Россияне крайне неудачно начали матч .,Россияне начали матч
Сейчас пожарные выясняют причину возгорания .,Пожарные выясняют причину
Его адвокат обжаловал решение властей .,Адвокат обжаловал решение
Однако суд вскоре прекратил дело .,Суд прекратил дело
По данному факту прокуратура начала расследование .,Прокуратура начала расследование
Мужчина потребовал встречи с журналистами .,Мужчина потребовал встречи
Рост составляет приблизительно три метра .,Рост составляет метра
Все каюты имеют собственные ванные комнаты .,Каюты имеют комнаты
Первая пара несёт клешни разных размеров .,Пара несёт клешни
Информацию подтвердили сотрудники служб безопасности .,Сотрудники подтвердили информацию
Больше месяца дивизия удерживала плацдарм .,Дивизия удерживала плацдарм
Другие руководители получат дисциплинарные взыскания .,Руководители получат взыскания
Рейтинг Пола едва превышает два процента .,Рейтинг превышает процента
Проект касается и Ростовской области .,Проект касается области
Иногда лист имеет и красноватый оттенок .,Лист имеет оттенок
В итоге стороны заключили мировое соглашение .,Стороны заключили соглашение
Число раненых превышает сто человек .,Число превышает человек
Пока поиски не дали никаких результатов .,Поиски дали результатов
Сам бизнесмен эти обвинения отрицал .,Бизнесмен отрицал обвинения
Его поиски пока не принесли результатов .,Поиски принесли результатов
Многие пользователи посчитали поступок итальянцев трогательным .,Пользователи посчитали поступок
В срок отхода конвой начинает движение .,Конвой начинает движение
Вызванный истребитель уничтожил террористов ракетой .,Истребитель уничтожил террористов
Это заключение потом рассмотрит руководство Совета Федерации .,Рассмотрит руководство
Первая партия составила тысячу упаковок .,Партия составила упаковок
Первый тираж составил тысячу экземпляров .,Тираж составил экземпляров
Его участников одобряет уже глава полуострова .,Глава одобряет участников
Государственная администрация эту идею поддержала .,Администрация поддержала идею
Затем реку форсировали остальные подразделения полка .,Форсировали подразделения
Обе части получили премии общества .,Части получили премии
Первый тираж книги составил двести тысяч экземпляров .,Тираж составил экземпляров
В ответ охранники открыли огонь .,Охранники открыли огонь
Всего специалист прогнозирует три пути .,Специалист прогнозирует пути
Через несколько часов поезд продолжил путь .,Поезд продолжил путь
Сейчас следователи возбудили уголовное дело .,Следователи возбудили дело
Однако суд не счел документы собственностью компании .,Суд счел документы
Только после этого оператор открывает шлагбаум .,Оператор открывает шлагбаум
Крабы ведут преимущественно ночной образ жизни .,Крабы ведут образ
План реформ предполагает повышение ряда налогов .,План предполагает повышение
Все улицы имеют асфальтовое покрытие .,Улицы имеют покрытие
Затем она ввела дочери препарат .,Она ввела препарат
Однако драматург придумал свой современный сюжет .,Драматург придумал сюжет
Сведения носят самый общий характер .,Сведения носят характер
Наш регион впервые принял соревнования подобного уровня .,Регион принял соревнования
При строительстве академии рабочие произвели замену грунта .,Рабочие произвели замену
Эксперты подтвердили подозрения сотрудника банка .,Эксперты подтвердили подозрения
Ранения получили трое сотрудников милиции .,Сотрудников получили ранения
Так что школьники пока ждут карантина напрасно .,Школьники ждут карантина
Следственные органы устанавливают обстоятельства произошедшего .,Органы устанавливают обстоятельства
Следственные органы начали допрос задержанного .,Органы начали допрос
Не любила она громоздкую мебель .,Она громоздкую мебель
Некоторые виды ведут преимущественно водный образ жизни .,Виды ведут образ
Рассказ вызывает у медиков взрыв хохота .,Взрыв вызывает
Участники вновь потребовали отставки Бен Али .,Участники потребовали отставки
Пока власти не называют никаких версий происшествия .,Власти называют версий
После этого управляющий вызвал полицию .,Управляющий вызвал полицию
Это ранение лишает его ноги .,Ранение лишает ноги
Эти события затрудняли работу правительства .,События затрудняли работу
Также чиновники выявляют освободившиеся жилые помещения .,Чиновники выявляют помещения
Корейскую музыку ждёт светлое будущее .,Будущее ждёт музыку
Израильские военные открыли ответный огонь .,Военные открыли огонь
Тогда же коллегия получила название Военной .,Коллегия получила название
"Кстати , сотрудники органов уже проводят проверку .",Сотрудники проводят проверку
Так человечество объявляет войну новой империи .,Человечество объявляет войну
Многие регионы ввели режим повышенной готовности .,Регионы ввели режим
Вскоре после нападения канал возобновил работу .,Канал возобновил работу
Через несколько часов преступники отпустили заложницу .,Преступники отпустили заложницу
Однако полиция быстро разоблачила подлог .,Полиция разоблачила подлог
Машина имела значительные технические повреждения .,Машина имела повреждения
Женщину разыскивали около пятидесяти человек .,Человек разыскивали женщину
Его слова приводит пресс-служба ведомства .,Пресс-служба приводит слова
Российский президент возглавит российскую делегацию .,Президент возглавит делегацию
Сервис переводов контролирует сама компания или предприниматель .,Компания контролирует сервис
Каждый судья имеет отдельный двухэтажный коттедж .,Судья имеет коттедж
Игрок уже подал необходимые документы .,Игрок подал документы
Однако использование экспериментального дизайна имеет свои ограничения .,Использование имеет ограничения
Некоторые сорта имеют другую окраску .,Сорта имеют окраску
А теперь их авторы получат призы .,Авторы получат призы
"Как ожидается , компанию ждут структурные изменения .",Ждут изменения
Эта постановка придавала им сил .,Постановка придавала сил
Поэтому суд признал сделки недействительными .,Суд признал сделки
Люди строили деревянные или каменные замки .,Люди строили замки
После произошедшего стрелок покончил жизнь самоубийством .,Стрелок покончил жизнь
Следствие выясняет мотивы поступка подростка .,Следствие выясняет мотивы
Зона покрытия сети полностью охватывает город .,Зона охватывает город
Очень редкие маги обладали такой способностью .,Маги обладали способностью
В результате абоненты несли дополнительные расходы .,Абоненты несли расходы
Во вторник полиция сообщила имя преступника .,Полиция сообщила имя
Однако победа укрепила позиции Ли .,Победа укрепила позиции
"Возможно , путешествие груза продлится месяц .",Путешествие продлится месяц
Обычно пласт имеет форму чаши .,Пласт имеет форму
Сейчас в отношении учителя начала расследование прокуратура .,Прокуратура начала расследование
Каждый игрок возглавляет выбранную расу .,Игрок возглавляет расу
После завершения турнира тренер покинул свой пост .,Тренер покинул пост
Сейчас полицейские разыскивают второго воришку .,Полицейские разыскивают воришку
Сегодня организация управляет несколькими кораблями .,Организация управляет кораблями
"Возможно , звезда имеет осколочный диск .",Звезда имеет диск
Спустя год уникальная яхта нашла покупателя .,Яхта нашла покупателя
По плану будут принимать пациентов педиатры .,Педиатры принимать пациентов
Сейчас их судьбу решает суд .,Суд решает судьбу
"По последней информации , террорист отпустил женщину .",Террорист отпустил женщину
Директор даёт ему свой билет .,Директор даёт билет
Основания крыльев бывают янтарного цвета .,Основания бывают цвета
С площади мужчину забрали медики .,Медики забрали мужчину
Владельцы концерна заморозили им зарплаты .,Владельцы заморозили зарплаты
Наши солдаты освобождали свою землю .,Солдаты освобождали землю
В настоящее время предложения ведомства рассматривает правительство .,Правительство рассматривает предложения
Задержка рейса составила пять часов .,Задержка составила часов
В целом премьера имела бесспорный успех .,Премьера имела успех
Однако руководство студии не теряет оптимизма .,Руководство теряет оптимизма
С них техника вывозит снег .,Техника вывозит снег
Мужчина допустил наезд на пешеходов .,Мужчина допустил наезд
Игровые критики оставили восторженные оценки об игре .,Критики оставили оценки
"Слово обозначает холм , бугор .",Слово обозначает холм
Бывшие студенты академии подтвердили его личность .,Студенты подтвердили личность
После этого школьница частично признала вину .,Школьница признала вину
Сами немцы вновь не понесли потерь .,Немцы понесли потерь
Компания ранее получала письма с угрозами .,Компания получала письма
Дело рассмотрит Псковский областной суд .,Суд рассмотрит дело
Вскоре полицейские нашли подозреваемого в совершении кражи .,Полицейские нашли подозреваемого
Эти числа означают количество побед обоих бойцов .,Числа означают количество
В результате случившегося девушка получила различные травмы .,Девушка получила травмы
Его дело рассмотрит Промышленный районный суд .,Суд рассмотрит дело
Сегодня это большое горе разделяют миллионы людей .,Миллионы разделяют горе
Изображение рыбы символизирует богатство природы .,Изображение символизирует богатство
Такая ситуация вызвала народное восстание .,Ситуация вызвала восстание
Закон не запрещает употребление алкоголя .,Закон запрещает употребление
Новые версии не добились популярности оригинала .,Версии добились популярности
Последующие переиздания получили нейтральные отзывы .,Переиздания получили отзывы
Некоторые предприниматели осуществляют такого рода деятельность .,Предприниматели осуществляют деятельность
Его активы составляют около девяти триллионов рублей .,Активы составляют рублей
Кроме медали победитель получает денежную премию .,Победитель получает премию
В финале зрители определяют победителя сезона .,Зрители определяют победителя
Многие авторы сочувственно изображают местный быт .,Авторы изображают быт
Политики критически оценили предложение епископа .,Политики оценили предложение
Парочку остановили сотрудники полиции на проспекте Строителей .,Сотрудники остановили парочку
Ведомство отмечает рост естественной убыли населения .,Ведомство отмечает рост
Также разведчик использовал здание для передачи радиограмм .,Разведчик использовал здание
Девушка использовала в ходе конфликта нож .,Девушка использовала нож
Также институт осуществляет выпуск разнообразных химических продуктов .,Институт осуществляет выпуск
Сейчас эту идею обсуждают специалисты ведомства .,Специалисты обсуждают идею
Их общая стоимость составляет несколько миллионов рублей .,Стоимость составляет рублей
Его завоевания расширили владения Иудеи .,Расширили владения
В результате потерпевший получил перелом носа .,Потерпевший получил перелом
Причины возгорания сейчас устанавливают специалисты .,Специалисты устанавливают причины
Крымские субсидии получает большинство крупнейших авиакомпаний .,Большинство получает субсидии
Игра имеет довольно высокую сложность .,Игра имеет сложность
Это заявление президента подтвердили и врачи .,Врачи подтвердили заявление
Польские солдаты страшно разграбили город .,Солдаты разграбили город
Наказания губернатора требовала прокуратура республики .,Прокуратура требовала наказания
Тем не менее радиостанция продолжила вещание .,Радиостанция продолжила вещание
Каждый кейс украшает имя владельца .,Кейс украшает имя
Его творчество получило высокую оценку критики .,Творчество получило оценку
По его итогам команда покинула чемпионат мира .,Команда покинула чемпионат
Личность подозреваемого установили оперативники уголовного розыска .,Оперативники установили личность
Войска последнего уничтожили город и его население .,Войска уничтожили город
Политик недавно перенес сложную операцию .,Политик перенес операцию
Это имя стало его псевдонимом .,Псевдонимом стало
Национальная сборная получила условную дисквалификацию .,Сборная получила дисквалификацию
Детские психологи подтвердили правдивость историй .,Психологи подтвердили правдивость
Полиция не раскрывает имена участниц инцидента .,Полиция раскрывает имена
Для этого педагоги используют социальные сети .,Педагоги используют сети
После случившегося педагог написал заявление об увольнении .,Педагог написал заявление
Теперь же такие площадки наводнили мошенники .,Мошенники наводнили площадки
Сам нападающий ранее попросил прощения за вечеринку .,Нападающий попросил прощения
Реализация проекта заняла ровно год .,Реализация заняла год
Присутствие производило регистрацию общественных организаций .,Присутствие производило регистрацию
Однако бомбу своевременно обнаружили полицейские .,Полицейские обнаружили бомбу
Семья через суд потребовала выделения большей жилплощади .,Семья потребовала выделения
При выходе мелкие родники образуют небольшое озеро .,Родники образуют озеро
Приговор вызвал возмущение петербургской общественности .,Приговор вызвал возмущение
Весь турнир дуэт прошёл без поражений .,Дуэт прошёл
Молодой художник точно разрабатывает психологический сюжет .,Художник разрабатывает сюжет
Эти мухи имеют значение в судебной медицине .,Мухи имеют значение
Солдаты открыли по нему огонь .,Солдаты открыли огонь
Представители четырёх клубов не признали своей вины .,Представители признали вины
Причины аварии устанавливает комиссия специалистов .,Комиссия устанавливает причины
Скорая помощь констатировала его смерть .,Помощь констатировала смерть
Размер требований составил около четырех миллиардов рублей .,Размер составил рублей
Женщину же спас случайный прохожий .,Прохожий спас женщину
Опция -I включает опцию -x .,Опция включает опцию
За сборную страны защитник провел два матча .,Защитник провел матча
Все выходные также будет идти снег .,Снег идти
На следующий день противник предпринял шесть контратак .,Противник предпринял контратак
Через некоторое время танки покинули город .,Танки покинули город
Компания проведет полную замену оборудования гидроэлектростанции .,Компания проведет замену
Задержание произвели сотрудники финансовой полиции .,Сотрудники произвели задержание
Соответствующее распоряжение утвердил губернатор края .,Губернатор утвердил распоряжение
Например — солдат ударил солдата .,Солдат ударил солдата
Пока руководство канала эту просьбу игнорирует .,Руководство игнорирует просьбу
Экономика кантона носит преимущественно сельскохозяйственный характер .,Экономика носит характер
Ее штат составляет около ста тысяч человек .,Штат составляет человек
Бастующие требуют повышения заработной платы .,Бастующие требуют повышения
Трое мутантов быстро находят общий язык .,Мутантов находят язык
Его выигрыш составил два миллиона рублей .,Выигрыш составил рублей
Его победу радостно приветствовал весь стадион .,Приветствовал стадион
Подобное решение бизнесмен объяснил происками врагов .,Бизнесмен объяснил решение
Этот крест и дал имя флагу .,Крест дал имя
Первая песня имеет такое же название .,Песня имеет название
Большинство из туристов покинули город .,Большинство покинули город
Объект имеет диаметр менее километра .,Объект имеет диаметр
Хозяин ищет собаку уже пятый день .,Хозяин ищет собаку
В воскресенье террористы вновь захватили населенный пункт .,Террористы захватили пункт
Выбор вызвал недоумение у читателей издания .,Выбор вызвал недоумение
Сотрудник парка оказал девочке первую помощь .,Сотрудник оказал помощь
Руководство последней также хранит молчание .,Руководство хранит молчание
Современные модели выполняют множество дополнительных функций .,Модели выполняют множество
На процессе обвиняемый полностью признал вину .,Обвиняемый признал вину
Для вечерней встречи пара выбрала церковь .,Пара выбрала церковь
В предыдущем рейтинге немцы занимали третье место .,Немцы занимали место
Ролик собрал более трех миллионов просмотров .,Ролик собрал просмотров
Водитель скорой сразу нажал тревожную кнопку .,Водитель нажал кнопку
Полиция устанавливает обстоятельства получения травм пострадавшим .,Полиция устанавливает обстоятельства
Этот вопрос сохраняет всю свою остроту .,Вопрос сохраняет остроту
Затем два мяча забили киевляне .,Киевляне забили мяча
И прошлогодние победители Мировой лиги добились успеха .,Победители добились успеха
Власти страны эту связь отрицают .,Власти отрицают связь
Тело девочки нашла ее мать .,Мать нашла
Обстоятельства самоубийства будет выяснять Следственный комитет .,Комитет выяснять обстоятельства
Поиски воров пока не принесли результата .,Поиски принесли результата
Вмещал новый храм более тысячи человек .,Вмещал человек
Этот интерес обусловил выбор объекта дальнейшего исследования .,Интерес обусловил выбор
Пристройка не нарушила общего стиля здания .,Пристройка нарушила стиля
Версия о теракте на нашла подтверждения .,Версия нашла подтверждения
Регулятор покупает металл на Московской бирже .,Регулятор покупает металл
"Помимо профессионализма , журналистов поразила находчивость девушки .",Поразила находчивость
Это образование получило название Пермский край .,Образование получило название
Экономика Холо имеет аграрный характер .,Экономика имеет характер
Власти уже начали расследование инцидента .,Власти начали расследование
Курдские формирования отвергли этот ультиматум .,Формирования отвергли ультиматум
Гендиректор клуба назвал эту информацию чушью .,Гендиректор назвал информацию
За неделю видео собрало четыре миллиона просмотров .,Видео собрало просмотров
Иск касается защиты деловой репутации поставщика .,Иск касается защиты
Сейчас полиция устанавливает соучастников преступления .,Полиция устанавливает соучастников
Охотники пели некоторые народные песни французского средневековья .,Охотники пели песни
Некоторые учебники для школ написали местные учителя .,Учителя написали учебники
