sentence,semantics_grammar,semantics,grammar,no,unknown,most_popular,percent
Бельгийцы разделяют безмерную скорби,,,1.0,,,grammar,1.0
Бельгийцы разделяют безмерную скорбь,,,,1.0,,no,1.0
Бельгийцы разделяют безмерную подбора,0.6666666666666666,0.25,0.0833333333333333,,,semantics_grammar,0.6666666666666666
Бельгийцы разделяют безмерную скорби,,,1.0,,,grammar,1.0
Бельгийцы разделяют безмерную подбора,0.7142857142857143,0.2857142857142857,,,,semantics_grammar,0.7142857142857143
Бельгийцы разделяют безмерную подбором,1.0,,,,,semantics_grammar,1.0
Бизнесмен отрицал обвинениях,,,1.0,,,grammar,1.0
Бизнесмен отрицал обвинениях,,,1.0,,,grammar,1.0
Бизнесмен отрицал вёсла,0.125,0.875,,,,semantics,0.875
Бизнесмен отрицал вёслах,0.75,0.25,,,,semantics_grammar,0.75
Бизнесмен отрицал обвинения,,,,1.0,,no,1.0
Бизнесмен оформил налоговый олимпом,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Бизнесмен оформил налоговый олимпе,1.0,,,,,semantics_grammar,1.0
Бизнесмен оформил налоговый олимп,,0.8571428571428571,,0.1428571428571428,,semantics,0.8571428571428571
Бизнесмен оформил налоговый вычет,,,,1.0,,no,1.0
Бизнесмен оформил налоговый вычетом,,,1.0,,,grammar,1.0
Боевики разрушили ликвидация церквей,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Боевики разрушили десятке церквей,,,1.0,,,grammar,1.0
Боевики разрушили губам церквей,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Боевики разрушили десятки церквей,,,,1.0,,no,1.0
Боевики разрушили ликвидации церквей,0.5714285714285714,0.2857142857142857,0.1428571428571428,,,semantics_grammar,0.5714285714285714
Боевики разрушили губы церквей,,1.0,,,,semantics,1.0
Боевики разрушили ликвидацию церквей,,1.0,,,,semantics,1.0
Браконьеры убили серже,0.3636363636363636,0.5454545454545454,0.0909090909090909,,,semantics,0.5454545454545454
Браконьеры убили лося,,,,1.0,,no,1.0
Браконьеры убили лось,,,1.0,,,grammar,1.0
Браконьеры убили серже,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Браконьеры убили сержа,,0.875,,0.125,,semantics,0.875
Браконьеры убили сержу,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,grammar,0.3333333333333333
Браконьеры убили серж,0.75,,0.25,,,semantics_grammar,0.75
Браконьеры убили серже,0.3333333333333333,0.5,0.1666666666666666,,,semantics,0.5
Браконьеры убили сержем,0.75,0.25,,,,semantics_grammar,0.75
Вандалы уничтожили часть таблички,,,,1.0,,no,1.0
Вандалы уничтожили частью таблички,0.3333333333333333,,0.6666666666666666,,,grammar,0.6666666666666666
Вандалы уничтожили встречу таблички,0.1666666666666666,0.6666666666666666,0.1666666666666666,,,semantics,0.6666666666666666
Вандалы уничтожили части таблички,,,0.25,0.75,,no,0.75
Вандалы уничтожили встрече таблички,0.75,,0.25,,,semantics_grammar,0.75
Вандалы уничтожили общественность таблички,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,semantics_grammar,0.3333333333333333
Вердикт носит рекомендательный характер,,,,1.0,,no,1.0
Вердикт носит рекомендательный январь,,1.0,,,,semantics,1.0
Вердикт носит рекомендательный характеру,,0.125,0.75,0.125,,grammar,0.75
Вердикт носит рекомендательный январю,1.0,,,,,semantics_grammar,1.0
Вердикт носит рекомендательный характеру,,0.0833333333333333,0.8333333333333334,0.0833333333333333,,grammar,0.8333333333333334
Ветераны поддержали инициативе болельщиков,,,1.0,,,grammar,1.0
Ветераны поддержали инициативу болельщиков,,0.25,,0.5,0.25,no,0.5
Ветераны поддержали милей болельщиков,1.0,,,,,semantics_grammar,1.0
Ветераны поддержали милю болельщиков,,0.8333333333333334,,0.1666666666666666,,semantics,0.8333333333333334
Владелец игнорировал местечка,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал месту,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал уха,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал уха,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал местечка,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал побережья,0.6666666666666666,,,0.3333333333333333,,semantics_grammar,0.6666666666666666
Владелец игнорировал побережьем,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал чужом,0.6666666666666666,,0.3333333333333333,,,semantics_grammar,0.6666666666666666
Владелец игнорировал обращению,,0.2222222222222222,0.7777777777777778,,,grammar,0.7777777777777778
Владелец игнорировал места,0.3333333333333333,,,0.6666666666666666,,no,0.6666666666666666
Владелец игнорировал месту,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал лету,0.3333333333333333,0.6666666666666666,,,,semantics,0.6666666666666666
Владелец игнорировал озере,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал болотами,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал болотами,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал лета,,1.0,,,,semantics,1.0
Владелец игнорировал места,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал обращения,,,,1.0,,no,1.0
Владелец игнорировал болота,,1.0,,,,semantics,1.0
Владелец игнорировал озеро,,1.0,,,,semantics,1.0
Владелец игнорировал озеро,,1.0,,,,semantics,1.0
Владелец игнорировал лету,1.0,,,,,semantics_grammar,1.0
Владелец игнорировал обращению,,0.3333333333333333,0.6666666666666666,,,grammar,0.6666666666666666
Владелец игнорировал озера,0.1111111111111111,0.8888888888888888,,,,semantics,0.8888888888888888
Владелец игнорировал лета,0.6666666666666666,,0.3333333333333333,,,semantics_grammar,0.6666666666666666
Владелец игнорировал болота,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Владелец игнорировал чужого,,0.6666666666666666,,0.3333333333333333,,semantics,0.6666666666666666
Владелец игнорировал ухом,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Владелец игнорировал местечку,1.0,,,,,semantics_grammar,1.0
Владельцы подсчитывают сумме ущерба,,,1.0,,,grammar,1.0
Владельцы подсчитывают суммы ущерба,,,0.5,0.5,,grammar,0.5
Владельцы подсчитывают заря ущерба,0.8333333333333334,0.1666666666666666,,,,semantics_grammar,0.8333333333333334
Владельцы подсчитывают суммы ущерба,,,0.6,0.4,,grammar,0.6
Владельцы подсчитывают зарю ущерба,,1.0,,,,semantics,1.0
Владельцы подсчитывают сумму ущерба,,,,1.0,,no,1.0
Владельцы подсчитывают заря ущерба,0.8,0.2,,,,semantics_grammar,0.8
Власти запретили проведение митинга,,,,1.0,,no,1.0
Власти запретили детстве митинга,0.75,0.25,,,,semantics_grammar,0.75
Власти запретили проведению митинга,,,0.8,0.2,,grammar,0.8
Власти запретили проведению митинга,,,1.0,,,grammar,1.0
Власти запретили проведению митинга,,,0.8571428571428571,0.1428571428571428,,grammar,0.8571428571428571
Власти запретили детство митинга,,1.0,,,,semantics,1.0
Власти запретили детстве митинга,0.8181818181818182,0.1818181818181818,,,,semantics_grammar,0.8181818181818182
Власти запретили детстве митинга,1.0,,,,,semantics_grammar,1.0
Власти исключили областью теракта,0.1428571428571428,0.2857142857142857,0.5714285714285714,,,grammar,0.5714285714285714
Власти исключили версию теракта,,,,1.0,,no,1.0
Власти исключили версии теракта,,,0.5714285714285714,0.4285714285714285,,grammar,0.5714285714285714
Власти исключили область теракта,,0.6666666666666666,,0.3333333333333333,,semantics,0.6666666666666666
Демонстранты разбили утверждение автомобиля,,1.0,,,,semantics,1.0
Власти исключили охрану теракта,,1.0,,,,semantics,1.0
Власти подтвердили сообщения,,0.1,0.1,0.8,,no,0.8
Власти подтвердили сообщение,,,,1.0,,no,1.0
Власти подтвердили поколение,,0.8571428571428571,,0.1428571428571428,,semantics,0.8571428571428571
Власти подтвердили сообщения,,0.1666666666666666,,0.8333333333333334,,no,0.8333333333333334
Власти подтвердили сообщению,,,1.0,,,grammar,1.0
Власти подтвердили поколении,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали венец,,0.6666666666666666,0.3333333333333333,,,semantics,0.6666666666666666
Власти прокомментировали досуг,,1.0,,,,semantics,1.0
Власти прокомментировали образцу,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали образцу,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали истоке,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали истоке,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали элемент,,1.0,,,,semantics,1.0
Власти прокомментировали мраморе,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали элемент,,1.0,,,,semantics,1.0
Власти прокомментировали досуг,,0.6666666666666666,,0.3333333333333333,,semantics,0.6666666666666666
Власти прокомментировали ансамбль,,1.0,,,,semantics,1.0
Власти прокомментировали переплёт,,1.0,,,,semantics,1.0
Власти прокомментировали исток,,1.0,,,,semantics,1.0
Власти прокомментировали ансамблю,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали вестнике,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали ансамбль,,1.0,,,,semantics,1.0
Власти прокомментировали совхоз,,1.0,,,,semantics,1.0
Власти прокомментировали вестнике,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали инцидент,,,,1.0,,no,1.0
Власти прокомментировали образец,,0.8333333333333334,,0.1666666666666666,,semantics,0.8333333333333334
Власти прокомментировали совхоз,,1.0,,,,semantics,1.0
Власти прокомментировали труд,,1.0,,,,semantics,1.0
Власти прокомментировали труд,,1.0,,,,semantics,1.0
Власти прокомментировали переплёт,,1.0,,,,semantics,1.0
Власти прокомментировали исток,,1.0,,,,semantics,1.0
Власти прокомментировали элементе,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали элементе,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали образец,,0.6666666666666666,,0.3333333333333333,,semantics,0.6666666666666666
Власти прокомментировали образец,,1.0,,,,semantics,1.0
Власти прокомментировали вестник,,1.0,,,,semantics,1.0
Власти прокомментировали трудом,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали инцидента,,,1.0,,,grammar,1.0
Власти прокомментировали совхоза,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали венец,,1.0,,,,semantics,1.0
Власти прокомментировали образце,0.6666666666666666,,0.3333333333333333,,,semantics_grammar,0.6666666666666666
Власти прокомментировали инцидента,,,1.0,,,grammar,1.0
Власти прокомментировали мрамор,,1.0,,,,semantics,1.0
Власти прокомментировали венце,,,1.0,,,grammar,1.0
Власти прокомментировали совхоза,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали мрамор,,1.0,,,,semantics,1.0
Власти прокомментировали образцом,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали венце,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали пластик,,1.0,,,,semantics,1.0
Власти прокомментировали пластика,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали досуге,0.6666666666666666,,0.3333333333333333,,,semantics_grammar,0.6666666666666666
Власти прокомментировали досуге,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали переплёте,1.0,,,,,semantics_grammar,1.0
Власти прокомментировали переплёте,,,1.0,,,grammar,1.0
Власти прокомментировали мраморе,1.0,,,,,semantics_grammar,1.0
Водитель задел трехлетнего заместителя,,0.8333333333333334,,0.1666666666666666,,semantics,0.8333333333333334
Водитель задел трехлетнего заместитель,0.7777777777777778,0.1111111111111111,0.1111111111111111,,,semantics_grammar,0.7777777777777778
Водитель задел трехлетнего заместитель,0.8333333333333334,0.0833333333333333,0.0833333333333333,,,semantics_grammar,0.8333333333333334
Водитель задел трехлетнего мальчика,,,0.1666666666666666,0.8333333333333334,,no,0.8333333333333334
Водитель задел трехлетнего мальчиком,,,1.0,,,grammar,1.0
Водитель нажал тревожную родине,1.0,,,,,semantics_grammar,1.0
Водитель нажал тревожную кнопку,,0.1111111111111111,,0.8888888888888888,,no,0.8888888888888888
Водитель нажал тревожную кнопки,,,1.0,,,grammar,1.0
Водитель нажал тревожную родине,1.0,,,,,semantics_grammar,1.0
Водитель нажал тревожную родину,,0.875,0.125,,,semantics,0.875
Водитель нажал тревожную кнопки,,,1.0,,,grammar,1.0
Водитель управлял уроком,,1.0,,,,semantics,1.0
Водитель управлял грузовиком,,0.1428571428571428,,0.8571428571428571,,no,0.8571428571428571
Водитель управлял урок,1.0,,,,,semantics_grammar,1.0
Водитель управлял грузовика,,,1.0,,,grammar,1.0
Водитель управлял грузовика,,,1.0,,,grammar,1.0
Военные открыли ответный характер,0.1,0.9,,,,semantics,0.9
Военные открыли ответный огня,,,1.0,,,grammar,1.0
Военные открыли ответный огня,,,1.0,,,grammar,1.0
Военные открыли ответный характеру,1.0,,,,,semantics_grammar,1.0
Военные открыли ответный огонь,,,,1.0,,no,1.0
Войска начали структуры крепости,0.3333333333333333,0.6666666666666666,,,,semantics,0.6666666666666666
Войска начали структура крепости,1.0,,,,,semantics_grammar,1.0
Войска начали осады крепости,,,1.0,,,grammar,1.0
Войска начали осаду крепости,,0.1666666666666666,,0.8333333333333334,,no,0.8333333333333334
Войска начали структуру крепости,,0.875,,0.125,,semantics,0.875
Войска начали осады крепости,,,1.0,,,grammar,1.0
Войска начали структуры крепости,0.3333333333333333,0.6666666666666666,,,,semantics,0.6666666666666666
Войска осадили города,,,0.4285714285714285,0.5714285714285714,,no,0.5714285714285714
Войска осадили выпуск,,1.0,,,,semantics,1.0
Врачи извлекли культура,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Врачи извлекли пулях,0.1428571428571428,,0.8571428571428571,,,grammar,0.8571428571428571
Врачи извлекли культуре,0.6666666666666666,,0.3333333333333333,,,semantics_grammar,0.6666666666666666
Врачи извлекли культуре,1.0,,,,,semantics_grammar,1.0
Врачи извлекли общины,,1.0,,,,semantics,1.0
Врачи извлекли культуре,1.0,,,,,semantics_grammar,1.0
Врачи извлекли пули,,,0.0625,0.9375,,no,0.9375
Врачи извлекли пули,,,0.05,0.95,,no,0.95
Врачи извлекли культуры,0.4117647058823529,0.5882352941176471,,,,semantics,0.5882352941176471
Врачи извлекли культуру,,1.0,,,,semantics,1.0
Врачи извлекли культурой,1.0,,,,,semantics_grammar,1.0
Врачи извлекли пули,,,0.0625,0.9375,,no,0.9375
Врачи извлекли пули,,,0.05,0.95,,no,0.95
Врачи извлекли культуру,,1.0,,,,semantics,1.0
Врачи извлекли культуре,1.0,,,,,semantics_grammar,1.0
Врачи извлекли пуле,,,1.0,,,grammar,1.0
Врачи извлекли культуре,1.0,,,,,semantics_grammar,1.0
Врачи извлекли культуре,0.6666666666666666,,0.3333333333333333,,,semantics_grammar,0.6666666666666666
Врачи извлекли пулю,,,,1.0,,no,1.0
Врачи назначили государства,0.125,0.5,0.125,0.125,0.125,semantics,0.5
Врачи назначили государстве,1.0,,,,,semantics_grammar,1.0
Врачи назначили государство,,1.0,,,,semantics,1.0
Врачи назначили лечения,,,1.0,,,grammar,1.0
Врачи назначили лечения,,,1.0,,,grammar,1.0
Врачи назначили государства,0.1666666666666666,0.5833333333333334,0.0833333333333333,0.0833333333333333,0.0833333333333333,semantics,0.5833333333333334
Врачи назначили лечение,,,,1.0,,no,1.0
Врачи осмотрели создателя,0.25,0.75,,,,semantics,0.75
Врачи осмотрели мужчину,,,,1.0,,no,1.0
Врачи осмотрели владимиром,0.5,,0.5,,,semantics_grammar,0.5
Врачи осмотрели владимира,,0.125,0.375,0.5,,no,0.5
Врачи осмотрели создатель,0.75,0.25,,,,semantics_grammar,0.75
Врачи осмотрели мужчины,,0.125,0.875,,,grammar,0.875
Глава поддержал воспоминанию,1.0,,,,,semantics_grammar,1.0
Глава поддержал решении,,,1.0,,,grammar,1.0
Глава поддержал воспоминания,,0.8571428571428571,0.1428571428571428,,,semantics,0.8571428571428571
Глава поддержал воспоминание,,1.0,,,,semantics,1.0
Глава поддержал решение,,,,1.0,,no,1.0
Глава поддержал воспоминания,0.1666666666666666,0.5833333333333334,0.0833333333333333,0.1666666666666666,,semantics,0.5833333333333334
Голландцы обыграли американцах,,,1.0,,,grammar,1.0
Голландцы обыграли председатели,1.0,,,,,semantics_grammar,1.0
Голландцы обыграли председателей,,0.75,,,0.25,semantics,0.75
Голландцы обыграли американцев,,0.1111111111111111,,0.8888888888888888,,no,0.8888888888888888
Гонщик разбил болидом,,0.125,0.875,,,grammar,0.875
Грабители забрали драгоценности,,0.1666666666666666,,0.8333333333333334,,no,0.8333333333333334
Грабители забрали интеграции,,1.0,,,,semantics,1.0
Грабитель забрал подпись,,1.0,,,,semantics,1.0
Грабитель забрал добычу,,,,1.0,,no,1.0
Девочка забросила школа,,,1.0,,,grammar,1.0
Девочка забросила середины,0.7857142857142857,0.2142857142857142,,,,semantics_grammar,0.7857142857142857
Девочка забросила середины,1.0,,,,,semantics_grammar,1.0
Девочка забросила середину,,1.0,,,,semantics,1.0
Девочка забросила середины,0.7272727272727273,0.2727272727272727,,,,semantics_grammar,0.7272727272727273
Девочка забросила школу,,,,0.8888888888888888,0.1111111111111111,no,0.8888888888888888
Девушка избегала тусовки,,,0.25,0.625,0.125,no,0.625
Девушка избегала радиосвязей,0.25,0.75,,,,semantics,0.75
Девушка избегала целесообразностей,,0.6666666666666666,,0.3333333333333333,,semantics,0.6666666666666666
Девушка избегала координациям,1.0,,,,,semantics_grammar,1.0
Девушка избегала координаций,0.5,0.5,,,,semantics_grammar,0.5
Девушка избегала тусовкам,,,1.0,,,grammar,1.0
Девушка избегала тусовок,,,,1.0,,no,1.0
Дедушка потерял поставку,,0.8,,0.2,,semantics,0.8
Дедушка потерял поставке,1.0,,,,,semantics_grammar,1.0
Дедушка потерял память,,,,1.0,,no,1.0
Дедушка потерял памятью,0.125,,0.875,,,grammar,0.875
Дедушка потерял памятью,0.2,,0.8,,,grammar,0.8
Демонстранты разбили установлением автомобиля,1.0,,,,,semantics_grammar,1.0
Демонстранты разбили участие автомобиля,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Демонстранты разбили утверждении автомобиля,0.75,0.25,,,,semantics_grammar,0.75
Демонстранты разбили утверждение автомобиля,,1.0,,,,semantics,1.0
Демонстранты разбили утверждению автомобиля,0.8,0.2,,,,semantics_grammar,0.8
Демонстранты разбили установление автомобиля,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Демонстранты разбили окно автомобиля,,,,1.0,,no,1.0
Демонстранты разбили окну автомобиля,,,1.0,,,grammar,1.0
Демонстранты разбили утверждением автомобиля,0.75,0.25,,,,semantics_grammar,0.75
Депутаты поддержали весле граждан,0.75,0.25,,,,semantics_grammar,0.75
Депутаты поддержали путешествие граждан,,0.2857142857142857,0.2857142857142857,0.4285714285714285,,no,0.4285714285714285
Депутаты поддержали путешествию граждан,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,semantics_grammar,0.3333333333333333
Депутаты поддержали веслу граждан,0.6,0.4,,,,semantics_grammar,0.6
Депутаты поддержали веслом граждан,0.25,0.75,,,,semantics,0.75
Депутаты поддержали озеро граждан,0.3333333333333333,0.6666666666666666,,,,semantics,0.6666666666666666
Депутаты поддержали требование граждан,,,,1.0,,no,1.0
Депутаты поддержали весло граждан,,1.0,,,,semantics,1.0
Депутаты поддержали озере граждан,1.0,,,,,semantics_grammar,1.0
Депутаты поддержали веслу граждан,1.0,,,,,semantics_grammar,1.0
Депутаты поддержали требованием граждан,,,1.0,,,grammar,1.0
Депутаты поддержали весло граждан,,1.0,,,,semantics,1.0
Депутаты представляют различные лужинов,0.8,,0.2,,,semantics_grammar,0.8
Депутаты представляют различные лужинов,0.7333333333333333,0.1333333333333333,0.1333333333333333,,,semantics_grammar,0.7333333333333333
Депутаты представляют различные фракции,,,,1.0,,no,1.0
Депутаты представляют различные фракцию,,,1.0,,,grammar,1.0
Депутаты представляют различные лужины,,1.0,,,,semantics,1.0
Депутаты представляют различные лужинов,1.0,,,,,semantics_grammar,1.0
Дизайнер имеет станция самовыражения,1.0,,,,,semantics_grammar,1.0
Дизайнер имеет свободе самовыражения,0.1428571428571428,,0.8571428571428571,,,grammar,0.8571428571428571
Дизайнер имеет станцию самовыражения,,1.0,,,,semantics,1.0
Дизайнер имеет свободе самовыражения,0.2,,0.8,,,grammar,0.8
Дизайнер имеет свободу самовыражения,,0.1428571428571428,,0.8571428571428571,,no,0.8571428571428571
Динамовцы забили единственный мяч,,,,1.0,,no,1.0
Динамовцы забили единственный поиске,1.0,,,,,semantics_grammar,1.0
Динамовцы забили единственный поиске,1.0,,,,,semantics_grammar,1.0
Динамовцы забили единственный мячом,,,1.0,,,grammar,1.0
Динамовцы забили единственный поиск,,1.0,,,,semantics,1.0
Драматург организовал лексемы учащихся,0.1428571428571428,0.8571428571428571,,,,semantics,0.8571428571428571
Драматург организовал забастовке учащихся,0.25,,0.75,,,grammar,0.75
Драматург организовал забастовку учащихся,,0.3333333333333333,,0.5,0.1666666666666666,no,0.5
Драматург организовал лексему учащихся,0.375,0.5,0.125,,,semantics,0.5
Драматург придумал современный сюжет,,,,1.0,,no,1.0
Драматург придумал современный октября,1.0,,,,,semantics_grammar,1.0
Драматург придумал современный октября,1.0,,,,,semantics_grammar,1.0
Драматург придумал современный сюжета,,,1.0,,,grammar,1.0
Драматург придумал современный октябрь,,1.0,,,,semantics,1.0
Женщина получила ожог ноги,,,,1.0,,no,1.0
Женщина получила ожогом ноги,,0.0833333333333333,0.9166666666666666,,,grammar,0.9166666666666666
Женщина получила ожогом ноги,,0.125,0.875,,,grammar,0.875
Женщина получила вестником ноги,1.0,,,,,semantics_grammar,1.0
Женщина получила вестнику ноги,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Женщина получила вестнике ноги,0.75,0.25,,,,semantics_grammar,0.75
Женщина получила вестника ноги,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,semantics_grammar,0.3333333333333333
Женщина получила вестник ноги,0.125,0.75,0.125,,,semantics,0.75
Жильцы вызвали эпохой,0.8,,,0.2,,semantics_grammar,0.8
Жильцы вызвали полицией,,,1.0,,,grammar,1.0
Жильцы вызвали эпоху,,1.0,,,,semantics,1.0
Жильцы вызвали полицию,,,0.1111111111111111,0.8888888888888888,,no,0.8888888888888888
Жители раскритиковали подобный запрету,0.0833333333333333,0.0833333333333333,0.8333333333333334,,,grammar,0.8333333333333334
