congruent,base_sent,sent_corrected
Бизнесмен по поддельным документам оформил налоговый вычет .,Бизнесмен оформил вычет,Бизнесмен оформил налоговый вычет
Боевики разрушили десятки христианских церквей .,Боевики разрушили десятки,Боевики разрушили десятки церквей
Болельщики раскритиковали спортсменку за ее поступок .,Болельщики раскритиковали спортсменку,Болельщики раскритиковали спортсменку
"Больные ощущают общую слабость , головокружение .",Больные ощущают слабость,Больные ощущают общую слабость
Большинство из них разрабатывают социальную проблематику .,Большинство разрабатывают проблематику,Большинство разрабатывают социальную проблематику
Ранее трое других браконьеров также убили лося .,Браконьеров убили лося,Браконьеры убили лося
Вандалы уничтожили центральную часть таблички .,Вандалы уничтожили часть,Вандалы уничтожили часть таблички
Ведомство подтвердило наличие незаконной свалки .,Ведомство подтвердило наличие,Ведомство подтвердило наличие свалки
Для властей города вердикт носит рекомендательный характер .,Вердикт носит характер,Вердикт носит рекомендательный характер
Однако ветер немного подпортит весеннее настроение .,Ветер подпортит настроение,Ветер подпортит весеннее настроение
Инициативу болельщиков поддержали ветераны клуба .,Ветераны поддержали инициативу,Ветераны поддержали инициативу болельщиков
Таинственные взрывы сотрясают весь город .,Взрывы сотрясают город,Взрывы сотрясают город
Но владелец магазина все обращения игнорировал .,Владелец игнорировал обращения,Владелец игнорировал обращения
Но владелец магазина все обращения игнорировал .,Владелец игнорировал обращения,Владелец игнорировал обращения
Новый владелец получил доступ к чужим финансам .,Владелец получил доступ,Владелец получил доступ к финансам
При этом владелец требовал предоплату за год .,Владелец требовал предоплату,Владелец требовал предоплату за год
Владелица автомобиля оставила ему ключи от машины .,Владелица оставила ключи,Владелица оставила ключи
Сумму ущерба подсчитывают владельцы пострадавшего павильона .,Владельцы подсчитывают сумму,Владельцы подсчитывают сумму ущерба
Владельцы отделов подсчитывают нанесенный ущерб .,Владельцы подсчитывают ущерб,Владельцы подсчитывают нанесенный ущерб
Их местонахождение власти держали в тайне .,Власти держали местонахождение,Власти держали местонахождение в тайне
Ранее городские власти запретили проведение митинга .,Власти запретили проведение,Власти запретили проведение митинга
Власти сразу же исключили версию теракта .,Власти исключили версию,Власти исключили версию теракта
Власти не озвучивают конкретные пути решения проблемы .,Власти озвучивают пути,Власти озвучивают пути решения
Однако местные власти эту информацию опровергли .,Власти опровергли информацию,Власти опровергли информацию
После допроса власти города отпустили пилота .,Власти отпустили пилота,Власти отпустили пилота
Украинские власти отрицают такие обвинения .,Власти отрицают обвинения,Власти отрицают обвинения
Кубинские власти подтвердили это сообщение .,Власти подтвердили сообщение,Власти подтвердили сообщение
Индийские власти также прокомментировали инцидент .,Власти прокомментировали инцидент,Власти прокомментировали инцидент
Власти региона пока не прокомментировали инцидент .,Власти прокомментировали инцидент,Власти прокомментировали инцидент
Власти региона пока не прокомментировали инцидент .,Власти прокомментировали инцидент,Власти прокомментировали инцидент
Японские власти прорабатывают детали визита .,Власти прорабатывают детали,Власти прорабатывают детали визита
Существенное влияние на атмосферу оказывает автотранспорт .,Влияние оказывает автотранспорт,Автотранспорт оказывает существенное влияние
Существенное влияние на атмосферу оказывает автотранспорт .,Влияние оказывает автотранспорт,Автотранспорт оказывает влияние на атмосферу
Водитель экипажа задел трехлетнего мальчика передним бампером .,Водитель задел мальчика,Водитель задел трехлетнего мальчика
Водитель скорой сразу нажал тревожную кнопку .,Водитель нажал кнопку,Водитель нажал тревожную кнопку
Водитель управлял грузовиком только в городской черте .,Водитель управлял грузовиком,Водитель управлял грузовиком
Российские военнослужащие открывали ответный огонь .,Военнослужащие открывали огонь,Военнослужащие открывали ответный огонь
Американские военные открыли ответный огонь .,Военные открыли огонь,Военные открыли ответный огонь
Израильские военные открыли ответный огонь .,Военные открыли огонь,Военные открыли ответный огонь
Гражданская война нанесла огромный ущерб наблюдательной сети .,Война нанесла ущерб,Война нанесла огромный ущерб
Гражданская война нанесла огромный ущерб наблюдательной сети .,Война нанесла ущерб,Война нанесла огромный ущерб
Турецкие войска начали осаду крепости .,Войска начали осаду,Войска начали осаду крепости
Их войска осадили город и обложили окрестности .,Войска осадили город,Войска осадили город
Их войска осадили город и обложили окрестности .,Войска осадили город,Войска осадили город
Войска последнего уничтожили город и его население .,Войска уничтожили город,Войска уничтожили город
Воспитывала будущую артистку только мать .,Воспитывала мать,Мать воспитывала будущую артистку
В Свердловской области врачи бьют тревогу .,Врачи бьют тревогу,Врачи бьют тревогу
А прибывшие врачи госпитализировали пострадавшего .,Врачи госпитализировали пострадавшего,Врачи госпитализировали пострадавшего
Врачи диагностировали у них пищевое отравление .,Врачи диагностировали отравление,Врачи диагностировали пищевое отравление
Врачи извлекли пули из ног животного .,Врачи извлекли пули,Врачи извлекли пули
Врачи извлекли пули из ног животного .,Врачи извлекли пули,Врачи извлекли пули из животного
Врачи извлекли пулю из ноги .,Врачи извлекли пулю,Врачи извлекли пулю
Врачи назначили ему лечение на дому .,Врачи назначили лечение,Врачи назначили лечение на дому
Врачи назначили ему лечение на дому .,Врачи назначили лечение,Врачи назначили лечение
Мужчину осмотрели врачи скорой помощи .,Врачи осмотрели мужчину,Врачи осмотрели мужчину
Мужчину осмотрели врачи скорой помощи .,Врачи осмотрели мужчину,Врачи осмотрели мужчину
Это заявление президента подтвердили и врачи .,Врачи подтвердили заявление,Врачи подтвердили заявление президента
Спустя несколько дней врачи поставили ему диагноз .,Врачи поставили диагноз,Врачи поставили диагноз
Выбор вызвал недоумение у читателей издания .,Выбор вызвал недоумение,Выбор вызвал недоумение
"Герой получит окончательное гражданство , родство .",Герой получит гражданство,Герой получит гражданство
Глава Воронежской области поддержал решение Селянина .,Глава поддержал решение,Глава поддержал решение
Хозяева турнира - голландцы обыграли американцев .,Голландцы обыграли американцев,Голландцы обыграли американцев
Гонщик разбил болид на мокрой трассе .,Гонщик разбил болид,Гонщик разбил болид
Гонщик разбил болид на мокрой трассе .,Гонщик разбил болид,Гонщик разбил болид
Грабители разбили витрины и забрали драгоценности .,Грабители забрали драгоценности,Грабители забрали драгоценности
Грабители разбили витрины и забрали драгоценности .,Грабители разбили витрины,Грабители разбили витрины
После этого грабитель забрал добычу и скрылся .,Грабитель забрал добычу,Грабитель забрал добычу
Граждане получили прямые демократические права .,Граждане получили права,Граждане получили демократические права
Эта грамота быстро дала положительные результаты .,Грамота дала результаты,Грамота дала положительные результаты
Геометрические гротески имеют строгие геометрические формы букв .,Гротески имеют формы,Гротески имеют строгие формы
Соответствующее распоряжение утвердил губернатор края .,Губернатор утвердил распоряжение,Распоряжение утвердил губернатор края
"Кроме того , девочка забросила школу .",Девочка забросила школу,Девочка забросила школу
"Кроме того , девочка забросила школу .",Девочка забросила школу,Девочка забросила школу
Девочка в результате этого получила травмы .,Девочка получила травмы,Девочка получила травмы
Девушка с плаката сознательно избегала голливудских тусовок .,Девушка избегала тусовок,Девушка избегала тусовок
"По данным издания , девушка открыла глаза .",Девушка открыла глаза,Девушка открыла глаза
В результате побоев девушка получила телесные повреждения .,Девушка получила повреждения,Девушка получила телесные повреждения
В результате побоев девушка получила телесные повреждения .,Девушка получила повреждения,Девушка получила телесные повреждения
В результате случившегося девушка получила различные травмы .,Девушка получила травмы,Девушка получила различные травмы
В результате случившегося девушка получила различные травмы .,Девушка получила травмы,Девушка получила различные травмы
"Возможно , дедушка потерял память .",Дедушка потерял память,Дедушка потерял память
"Возможно , дедушка потерял память .",Дедушка потерял память,Дедушка потерял память
Сам дежурный свою вину отрицал .,Дежурный отрицал вину,Дежурный отрицал вину
Однако демонстранты использовали плакаты и нового содержания .,Демонстранты использовали плакаты,Демонстранты использовали плакаты
Демонстранты разбили окно автомобиля одной из телекомпаний .,Демонстранты разбили окно,Демонстранты разбили окно автомобиля
При этом девять депутатов пропустили голосование .,Депутатов пропустили голосование,Депутаты пропустили голосование
Требование митингующих поддержали депутаты городского совета .,Депутаты поддержали требование,Депутаты поддержали требование граждан
Упомянутые в запросе депутаты представляют разные фракции .,Депутаты представляют фракции,Депутаты представляют различные фракции
Упомянутые в запросе депутаты представляют разные фракции .,Депутаты представляют фракции,Депутаты представляют различные фракции
Деревня вдохновляла художника своими пейзажами .,Деревня вдохновляла художника,Деревня вдохновляла художника
Дерево перегородило проход к подземному переходу .,Дерево перегородило проход,Дерево перегородило проход
Только тогда австрийская дивизия сложила оружие .,Дивизия сложила оружие,Дивизия сложила оружие
Дизайнер имеет полную свободу творческого самовыражения .,Дизайнер имеет свободу,Дизайнер имеет свободу самовыражения
Динамовцы забили единственный мяч во втором тайме .,Динамовцы забили мяч,Динамовцы забили единственный мяч
Российские дипломаты предприняли ответные меры .,Дипломаты предприняли меры,Дипломаты предприняли ответные меры
Победителей ждут дипломы и памятные подарки .,Дипломы ждут победителей,Дипломы ждут победителей
Дорога представляет собой замкнутый контур .,Дорога представляет контур,Дорога представляет замкнутый контур
Там будущий драматург организовал забастовку учащихся .,Драматург организовал забастовку,Драматург организовал забастовку учащихся
Однако драматург придумал свой современный сюжет .,Драматург придумал сюжет,Драматург придумал современный сюжет
Недавно друг и адвокат писательницы нашел рукопись .,Друг нашел рукопись,Друг нашел рукопись
Курганская городская дума поддержала инициативу .,Дума поддержала инициативу,Дума поддержала инициативу
Курганская городская дума поддержала инициативу .,Дума поддержала инициативу,Дума поддержала инициативу
Большую часть населения составляли евреи .,Евреи составляли часть,Евреи составляли часть населения
"Как ожидается , компанию ждут структурные изменения .",Ждут изменения,Изменения ждут компанию
Деньги женщина несла в кармане куртки .,Женщина несла деньги,Женщина несла деньги
Деньги женщина несла в кармане куртки .,Женщина несла деньги,Женщина несла деньги в кармане
Женщина обвинила мужчину в низком заработке .,Женщина обвинила мужчину,Женщина обвинила мужчину
Женщина получила незначительный ожог ноги .,Женщина получила ожог,Женщина получила ожог ноги
"Как правило , эти животные избегают человека .",Животные избегают человека,Животные избегают человека
Полицию вызвали жильцы близлежащего дома .,Жильцы вызвали полицию,Жильцы вызвали полицию
Местные жители раскритиковали подобный запрет .,Жители раскритиковали запрет,Жители раскритиковали подобный запрет
Лишилась крупной суммы также жительница Псковского района .,Жительница лишилась суммы,Жительница лишилась крупной суммы
Сам журналист пока не прокомментировал ситуацию .,Журналист прокомментировал ситуацию,Журналист прокомментировал ситуацию
Журналисты холдинга ведут собственное расследование .,Журналисты ведут расследование,Журналисты ведут собственное расследование
Журналисты не раскрыли источник этой информации .,Журналисты раскрыли источник,Журналисты раскрыли источник информации
"Как установлено , бумаги подписывала заведующая отделом .",Заведующая подписывала бумаги,Заведующая подписывала бумаги
В постсоветское время завод дважды пережил банкротство .,Завод пережил банкротство,Завод пережил банкротство
Закон не запрещает употребление алкоголя .,Закон запрещает употребление,Закон запрещает употребление алкоголя
Среди прочего законопроект регламентирует свадебные церемонии .,Законопроект регламентирует церемонии,Законопроект регламентирует свадебные церемонии
Здание гостиного дома имело весьма необычную планировку .,Здание имело планировку,Здание имело необычную планировку
"По предварительной информации , мужчину подвело здоровье .",Здоровье подвело мужчину,Здоровье подвело мужчину
"По предварительной информации , мужчину подвело здоровье .",Здоровье подвело мужчину,Здоровье подвело мужчину
Новое землетрясение вызвало панику у местных жителей .,Землетрясение вызвало панику,Землетрясение вызвало панику жителей
Новое землетрясение вызвало панику у местных жителей .,Землетрясение вызвало панику,Землетрясение вызвало панику жителей
Труп злоумышленник спрятал в погребе на веранде .,Злоумышленник спрятал труп,Злоумышленник спрятал труп
Злоумышленники вскрыли капот моторного отсека .,Злоумышленники вскрыли капот,Злоумышленники вскрыли капот
Тогда у потерпевшего злоумышленники забрали сотовый телефон .,Злоумышленники забрали телефон,Злоумышленники забрали телефон
Жену Бойко злоумышленники связали скотчем .,Злоумышленники связали жену,Злоумышленники связали жену
Жену Бойко злоумышленники связали скотчем .,Злоумышленники связали жену,Злоумышленники связали жену
В финале зрители определяют победителя сезона .,Зрители определяют победителя,Зрители определяют победителя сезона
Игра получила средние отзывы критиков и игроков .,Игра получила отзывы,Игра получила средние отзывы
Игра получила довольно положительные отзывы .,Игра получила отзывы,Игра получила положительные отзывы
После этого игра приняла нервный характер .,Игра приняла характер,Игра приняла нервный характер
Избранник народа и мужчина устроили драку .,Мужчина устроили драку,Мужчина устроили драку
"Кроме того , издание подсчитало доходы тренеров .",Издание подсчитало доходы,Издание подсчитало доходы тренеров
Подробности издание сообщает на своем сайте .,Издание сообщает подробности,Издание сообщает подробности
Подробности издание сообщает на своем сайте .,Издание сообщает подробности,Издание сообщает подробности на сайте
Изображение рыбы символизирует богатство природы .,Изображение символизирует богатство,Изображение символизирует богатство природы
Изобретение уже привлекло внимание инвесторов .,Изобретение привлекло внимание,Изобретение привлекло внимание инвесторов
После этой победы израильтяне окончательно остановили контрнаступление .,Израильтяне остановили контрнаступление,Израильтяне остановили контрнаступление
После этой победы израильтяне окончательно остановили контрнаступление .,Израильтяне остановили контрнаступление,Израильтяне остановили контрнаступление
В ответ израильтяне открыли артиллерийский огонь .,Израильтяне открыли огонь,Израильтяне открыли артиллерийский огонь
Получили ли израильтяне дополнительные гарантии .,Израильтяне получили гарантии,Израильтяне получили дополнительные гарантии
Израильтяне пока проверяют эту информацию .,Израильтяне проверяют информацию,Израильтяне проверяют информацию
Из подсолнечника индейцы также извлекали пурпурную краску .,Индейцы извлекали краску,Индейцы извлекали пурпурную краску
Возмущённые и голодные индейцы подняли восстание .,Индейцы подняли восстание,Индейцы подняли восстание
Возмущённые и голодные индейцы подняли восстание .,Индейцы подняли восстание,Индейцы подняли восстание
Инициатива не получила поддержку чиновников .,Инициатива получила поддержку,Инициатива получила поддержку чиновников
Инспекторы строительного надзора оценивают состояние пострадавшего здания .,Инспекторы оценивают состояние,Инспекторы оценивают состояние здания
Позже исламисты опровергли гибель полевого командира .,Исламисты опровергли гибель,Исламисты опровергли гибель командира
Новое оборудование уже прошло успешные испытания .,Испытания прошло,Оборудование прошло успешные испытания
Однако исследователи продолжили детальное изучение изображения .,Исследователи продолжили изучение,Исследователи продолжили изучение изображения
Однако источники издания подтвердили подлинность документа .,Источники подтвердили подлинность,Источники подтвердили подлинность документа
Длинноволосого высокого мужчину запечатлели камеры наблюдения .,Камеры запечатлели мужчину,Камеры запечатлели высокого мужчину
Трансляцию мероприятия вел Первый канал .,Канал вел трансляцию,Канал вел трансляцию мероприятия
Вскоре после нападения канал возобновил работу .,Канал возобновил работу,Канал возобновил работу
Остальные семь кандидатов представляют мелкие партии .,Кандидатов представляют партии,Кандидаты представляют мелкие партии
Клюв также имеет коричневатую окраску .,Клюв имеет окраску,Клюв имеет коричневатую окраску
Книга получила большое признание в профессиональной среде .,Книга получила признание,Книга получила большое признание
Книга произвела огромное впечатление на итальянцев .,Книга произвела впечатление,Книга произвела огромное впечатление
Для этого турне коллектив подготовил специальную программу .,Коллектив подготовил программу,Коллектив подготовил специальную программу
Каждая команда выбирает участников поединка анонимным голосованием .,Команда выбирает участников,Команда выбирает участников поединка
Обновлённая команда завершила сезон на третьем месте .,Команда завершила сезон,Команда завершила сезон
Хорошую подготовку имеет также и баскетбольная команда .,Команда имеет подготовку,Команда имеет хорошую подготовку
По его итогам команда покинула чемпионат мира .,Команда покинула чемпионат,Команда покинула чемпионат мира
Командир дополнительно выполнял обязанности заряжающего и радиста .,Командир выполнял обязанности,Командир выполнял обязанности радиста
Израильское командование подтвердило факт нанесения удара .,Командование подтвердило факт,Командование подтвердило факт удара
Причину аварии выяснит специальная комиссия .,Комиссия выяснит причину,Комиссия выяснит причину аварии
Обстоятельства самоубийства будет выяснять Следственный комитет .,Комитет выяснять обстоятельства,Комитет выясняет обстоятельства самоубийства
Проверку обстоятельств гибели охранника проводит Следственный комитет .,Комитет проводит проверку,Комитет проводит проверку обстоятельств
Обе компании опровергли информацию о слиянии .,Компании опровергли информацию,Компании опровергли информацию
Компания заключила соответствующие мировые соглашения со Смольным .,Компания заключила соглашения,Компания заключила мировые соглашения
Компания ранее получала письма с угрозами .,Компания получала письма,Компания получала письма
Компания проведет полную замену оборудования гидроэлектростанции .,Компания проведет замену,Компания проведет замену оборудования
Известная петербургская компания чистила заброшенную крепость .,Компания чистила крепость,Компания чистила заброшенную крепость
В срок отхода конвой начинает движение .,Конвой начинает движение,Конвой начинает движение
После этого корпорация начала поиски нового топ-менеджера .,Корпорация начала поиски,Корпорация начала поиски
Космонавты и раньше покидали отряд .,Космонавты покидали отряд,Космонавты покидали отряд
Космонавты и раньше покидали отряд .,Космонавты покидали отряд,Космонавты покидали отряд
Игровые критики оставили восторженные оценки об игре .,Критики оставили оценки,Критики оставили восторженные оценки
Курорт пользуется большой популярностью у туристов .,Курорт пользуется популярностью,Курорт пользуется популярностью
Лайнер совершил посадку в штатном режиме .,Лайнер совершил посадку,Лайнер совершил посадку
Лауреаты конкурса получили денежные гранты .,Лауреаты получили гранты,Лауреаты получили денежные гранты
Лауреаты конкурса получили денежные гранты .,Лауреаты получили гранты,Лауреаты получили денежные гранты
Категорию числа имеет лишь одна лексема .,Лексема имеет категорию,Лексема имеет категорию числа
Лидер консерваторов сегодня празднует двойную победу .,Лидер празднует победу,Лидер празднует победу
Меры предосторожности соблюдают и лидеры стран .,Лидеры соблюдают меры,Лидеры соблюдают меры предосторожности
Молодые листья имеют пурпурную окраску .,Листья имеют окраску,Листья имеют пурпурную окраску
Молодые листья имеют пурпурную окраску .,Листья имеют окраску,Листья имеют пурпурную окраску
Многие люди боятся этих насекомых .,Люди боятся насекомых,Люди боятся насекомых
Люди строили деревянные или каменные замки .,Люди строили замки,Люди строили каменные замки
Люди строили деревянные или каменные замки .,Люди строили замки,Люди строили каменные замки
По прибытии мальчик выбросил книгу со злостью .,Мальчик выбросил книгу,Мальчик выбросил книгу
Мальчик перебегал дорогу вне пешеходного перехода .,Мальчик перебегал дорогу,Мальчик перебегал дорогу
Мальчик перебегал дорогу вне пешеходного перехода .,Мальчик перебегал дорогу,Мальчик перебегал дорогу
От этого мальчик потерял равновесие и упал .,Мальчик потерял равновесие,Мальчик потерял равновесие
"Предположительно , мать медвежонка убили браконьеры .",Мать убили браконьеры,Браконьеры убили мать медвежонка
Обе мачты имеют косое парусное вооружение .,Мачты имеют вооружение,Мачты имеют парусное вооружение
Машина имела значительные технические повреждения .,Машина имела повреждения,Машина имела значительные повреждения
Тонувшая машина в сумерках напоминала рубку теплохода .,Машина напоминала рубку,Машина напоминала рубку теплохода
Машины получили очень сильные повреждения .,Машины получили повреждения,Машины получили сильные повреждения
Обе машины получили незначительные повреждения .,Машины получили повреждения,Машины получили незначительные повреждения
Столкнувшиеся машины получили механические повреждения .,Машины получили повреждения,Машины получили механические повреждения
Обе машины получили незначительные повреждения .,Машины получили повреждения,Машины получили незначительные повреждения
Машины получили очень сильные повреждения .,Машины получили повреждения,Машины получили сильные повреждения
Медики диагностировали у пациента разрыв прямой кишки .,Медики диагностировали разрыв,Медики диагностировали разрыв кишки
Медики диагностировали у пациента разрыв прямой кишки .,Медики диагностировали разрыв,Медики диагностировали разрыв кишки
С площади мужчину забрали медики .,Медики забрали мужчину,Медики забрали мужчину
Медики телесные повреждения не обнаружили .,Медики обнаружили повреждения,Медики обнаружили телесные повреждения
Медики оценивают состояние мужчины как средней тяжести .,Медики оценивают состояние,Медики оценивают состояние мужчины
Метеорологи прогнозируют на ближайшие дни небольшой снег .,Метеорологи прогнозируют снег,Метеорологи прогнозируют небольшой снег
В результате нападения милиционер получил телесные повреждения .,Милиционер получил повреждения,Милиционер получил телесные повреждения
Группу грабителей блокировали милиционеры и спецназ .,Милиционеры блокировали группу,Милиционеры блокировали группу грабителей
Заметившие ее милиционеры сразу же вызвали спасателей .,Милиционеры вызвали спасателей,Милиционеры вызвали спасателей
В настоящее время милиция ведет розыск нападавших .,Милиция ведет розыск,Милиция ведет розыск нападавших
"Милиция ведет следствие , возбуждено уголовное дело .",Милиция ведет следствие,Милиция ведет следствие
"Милиция ведет следствие , возбуждено уголовное дело .",Милиция ведет следствие,Милиция ведет следствие
Милиция отрабатывает различные версии происшествия .,Милиция отрабатывает версии,Милиция отрабатывает версии происшествия
Милиция провела проверку и подтвердила эту информацию .,Милиция провела проверку,Милиция провела проверку
Истекающий кровью мужчина самостоятельно вызвал скорую помощь .,Мужчина вызвал помощь,Мужчина вызвал скорую помощь
Истекающий кровью мужчина самостоятельно вызвал скорую помощь .,Мужчина вызвал помощь,Мужчина вызвал скорую помощь
Мужчина также показал полицейское удостоверение .,Мужчина показал удостоверение,Мужчина показал полицейское удостоверение
"По предварительным данным , мужчина получил ожоги .",Мужчина получил ожоги,Мужчина получил ожоги
В результате падения мужчина получил травмы .,Мужчина получил травмы,Мужчина получил травмы
В результате падения мужчина получил травмы .,Мужчина получил травмы,Мужчина получил травмы
Мужчина потребовал встречи с журналистами .,Мужчина потребовал встречи,Мужчина потребовал встречи
В зале суда мужчина признал свою вину .,Мужчина признал вину,Мужчина потребовал встречи с журналистами
Полученную информацию мужчина продал третьему лицу .,Мужчина продал информацию,Мужчина продал полученную информацию
Мужчина снял повреждения на кабине .,Мужчина снял повреждения,Мужчина снял повреждения на кабине
"Кроме того , большую сдержанность проявляют мужчины .",Мужчины проявляют сдержанность,Мужчины проявляют сдержанность
Музей ведёт активную выставочную деятельность .,Музей ведёт деятельность,Музей ведёт выставочную деятельность
Государственный литературный музей получил новое название .,Музей получил название,Музей получил новое название
Все композиции музыкант записал самостоятельно .,Музыкант записал композиции,Музыкант записал композицию
Сам музыкант исполнил в спектакле роль рассказчика .,Музыкант исполнил роль,Музыкант исполнил роль рассказчика
Название населённого пункта имеет славянское происхождение .,Название имеет происхождение,Название имеет славянское происхождение
Прибывший наряд полиции задержал мужчину .,Наряд задержал мужчину,Наряд задержал мужчину
Незнакомцы затеяли ссору и избили парня .,Незнакомцы затеяли ссору,Незнакомцы затеяли ссору
"Немец по национальности , получил начальное образование .",Немец получил образование,Немец получил начальное образование
Сами немцы вновь не понесли потерь .,Немцы понесли потерь,Немцы понесли потери
Немцы и румыны уничтожали евреев .,Немцы уничтожали евреев,Немцы уничтожали евреев
Для устрашения немцы часто устраивали показательные казни .,Немцы устраивали казни,Немцы устраивали показательные казни
Однако экспедицию везде преследовали неудачи .,Неудачи преследовали экспедицию,Неудачи преследовали экспедицию
Однако экспедицию везде преследовали неудачи .,Неудачи преследовали экспедицию,Неудачи преследовали экспедицию
На одном из рельефов нянька держит младенца .,Нянька держит младенца,Нянька держит младенца
Обвиняемый не дает никаких показаний .,Обвиняемый дает показаний,Обвиняемый дает показания
На процессе обвиняемый полностью признал вину .,Обвиняемый признал вину,Обвиняемый признал вину
Обряд символизировал круговорот времени и возрождение природы .,Обряд символизировал круговорот,Обряд символизировал круговорот времени
Огонь сжег пять квартир и шесть балконов .,Огонь сжег квартир,Огонь сжег квартиру
Крупных притоков озеро не имеет .,Озеро имеет притоков,Озеро имеет крупные притоки
Ранее округ занимал гораздо большую территорию .,Округ занимал территорию,Округ занимал крупную территорию
Ранее округ занимал гораздо большую территорию .,Округ занимал территорию,Округ занимал крупную территорию
Оперативники Центрального района довольно быстро вычислили воришку .,Оперативники вычислили воришку,Оперативники вычислили воришку
Задержание провели оперативники уголовного розыска и МУРа .,Оперативники провели задержание,Оперативники провели задержание
Личность подозреваемого установили оперативники уголовного розыска .,Оперативники установили личность,Оперативники установили личность подозреваемого
Остальные операторы не предоставили более подробных данных .,Операторы предоставили данных,Операторы предоставили подробные данные
А вот оппозиция уже сейчас высказывает недовольство .,Оппозиция высказывает недовольство,Оппозиция высказывает недовольство
Из-за этого организация получила несколько предупреждений .,Организация получила предупреждений,Организация получила предупреждение
Правоохранительные органы ведут розыск преступников .,Органы ведут розыск,Органы ведут розыск преступников
Все обстоятельства случившегося выясняют правоохранительные органы .,Органы выясняют обстоятельства,Органы выясняют обстоятельства случившегося
Правоохранительные органы исключили версию ограбления .,Органы исключили версию,Органы исключили версию ограбления
Правоохранительные органы начали расследование произошедшего инцидента .,Органы начали расследование,Органы начали расследование произошедшего
Правоохранительные органы начали розыск подозреваемых .,Органы начали розыск,Органы начали розыск подозреваемых
Российские правоохранительные органы проверяют эту информацию .,Органы проверяют информацию,Органы проверяют информацию
