sentence_id,congruent,position,sentence,target
8,Артиллеристы подготовили орудия,2,Артиллеристы подготовили орудию,grammar
8,Артиллеристы подготовили орудия,2,Артиллеристы подготовили посещения,semantics
8,Артиллеристы подготовили орудия,2,Артиллеристы подготовили орудия,no
8,Артиллеристы подготовили орудия,2,Артиллеристы подготовили телевидения,semantics
9,Артисты прокомментировали перенос премьеры,2,Артисты прокомментировали лексиконе премьеры,semantics_grammar
9,Артисты прокомментировали перенос премьеры,2,Артисты прокомментировали переноса премьеры,grammar
9,Артисты прокомментировали перенос премьеры,2,Артисты прокомментировали лгуна премьеры,semantics
9,Артисты прокомментировали перенос премьеры,2,Артисты прокомментировали гарем премьеры,semantics
9,Артисты прокомментировали перенос премьеры,2,Артисты прокомментировали лексикон премьеры,semantics
9,Артисты прокомментировали перенос премьеры,2,Артисты прокомментировали лгун премьеры,semantics
9,Артисты прокомментировали перенос премьеры,2,Артисты прокомментировали перенос премьеры,no
10,Атлеты получили денежные премии,3,Атлеты получили денежные премии,no
10,Атлеты получили денежные премии,3,Атлеты получили денежные премию,grammar
10,Атлеты получили денежные премии,3,Атлеты получили денежные деревня,semantics_grammar
10,Атлеты получили денежные премии,3,Атлеты получили денежные деревню,semantics_grammar
10,Атлеты получили денежные премии,3,Атлеты получили денежные деревни,semantics
11,Барабанщик покинул группу,2,Барабанщик покинул записке,semantics_grammar
11,Барабанщик покинул группу,2,Барабанщик покинул записку,semantics
11,Барабанщик покинул группу,2,Барабанщик покинул группу,no
11,Барабанщик покинул группу,2,Барабанщик покинул записке,semantics_grammar
11,Барабанщик покинул группу,2,Барабанщик покинул группы,grammar
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют местечке зарплаты,semantics_grammar
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют местечко зарплаты,semantics_grammar
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют местечко зарплаты,semantics_grammar
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют местечка зарплаты,semantics
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют местечко зарплаты,semantics_grammar
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют повышении зарплаты,grammar
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют повышением зарплаты,grammar
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют повышении зарплаты,grammar
12,Бастующие требуют повышения зарплаты,2,Бастующие требуют повышения зарплаты,no
13,Бельгийцы разделяют безмерную скорбь,3,Бельгийцы разделяют безмерную подбору,semantics
13,Бельгийцы разделяют безмерную скорбь,3,Бельгийцы разделяют безмерную скорби,grammar
13,Бельгийцы разделяют безмерную скорбь,3,Бельгийцы разделяют безмерную скорби,grammar
13,Бельгийцы разделяют безмерную скорбь,3,Бельгийцы разделяют безмерную скорбь,no
13,Бельгийцы разделяют безмерную скорбь,3,Бельгийцы разделяют безмерную подбора,semantics_grammar
13,Бельгийцы разделяют безмерную скорбь,3,Бельгийцы разделяют безмерную скорби,grammar
13,Бельгийцы разделяют безмерную скорбь,3,Бельгийцы разделяют безмерную подбора,semantics_grammar
13,Бельгийцы разделяют безмерную скорбь,3,Бельгийцы разделяют безмерную подбором,semantics_grammar
14,Бизнесмен отрицал обвинения,2,Бизнесмен отрицал обвинениях,grammar
14,Бизнесмен отрицал обвинения,2,Бизнесмен отрицал обвинениях,grammar
14,Бизнесмен отрицал обвинения,2,Бизнесмен отрицал вёсла,semantics
14,Бизнесмен отрицал обвинения,2,Бизнесмен отрицал вёслах,semantics_grammar
14,Бизнесмен отрицал обвинения,2,Бизнесмен отрицал обвинения,no
15,Бизнесмен оформил налоговый вычет,3,Бизнесмен оформил налоговый олимпом,semantics_grammar
15,Бизнесмен оформил налоговый вычет,3,Бизнесмен оформил налоговый олимпе,semantics_grammar
15,Бизнесмен оформил налоговый вычет,3,Бизнесмен оформил налоговый олимп,semantics
15,Бизнесмен оформил налоговый вычет,3,Бизнесмен оформил налоговый вычет,no
15,Бизнесмен оформил налоговый вычет,3,Бизнесмен оформил налоговый вычетом,grammar
16,Боевики разрушили десятки церквей,2,Боевики разрушили ликвидация церквей,semantics_grammar
16,Боевики разрушили десятки церквей,2,Боевики разрушили десятке церквей,grammar
16,Боевики разрушили десятки церквей,2,Боевики разрушили губам церквей,semantics_grammar
16,Боевики разрушили десятки церквей,2,Боевики разрушили десятки церквей,no
16,Боевики разрушили десятки церквей,2,Боевики разрушили ликвидации церквей,semantics
16,Боевики разрушили десятки церквей,2,Боевики разрушили губы церквей,semantics
16,Боевики разрушили десятки церквей,2,Боевики разрушили ликвидацию церквей,semantics_grammar
17,Браконьеры убили лося,2,Браконьеры убили серже,semantics_grammar
17,Браконьеры убили лося,2,Браконьеры убили лося,no
17,Браконьеры убили лося,2,Браконьеры убили лось,grammar
17,Браконьеры убили лося,2,Браконьеры убили серже,semantics_grammar
17,Браконьеры убили лося,2,Браконьеры убили сержа,semantics
17,Браконьеры убили лося,2,Браконьеры убили сержу,semantics_grammar
17,Браконьеры убили лося,2,Браконьеры убили серж,semantics_grammar
17,Браконьеры убили лося,2,Браконьеры убили серже,semantics_grammar
17,Браконьеры убили лося,2,Браконьеры убили сержем,semantics_grammar
18,Вандалы уничтожили часть таблички,2,Вандалы уничтожили часть таблички,no
18,Вандалы уничтожили часть таблички,2,Вандалы уничтожили частью таблички,grammar
18,Вандалы уничтожили часть таблички,2,Вандалы уничтожили встречу таблички,semantics
18,Вандалы уничтожили часть таблички,2,Вандалы уничтожили части таблички,grammar
18,Вандалы уничтожили часть таблички,2,Вандалы уничтожили встрече таблички,semantics_grammar
18,Вандалы уничтожили часть таблички,2,Вандалы уничтожили общественность таблички,semantics
19,Вердикт носит рекомендательный характер,3,Вердикт носит рекомендательный характер,no
19,Вердикт носит рекомендательный характер,3,Вердикт носит рекомендательный январь,semantics
19,Вердикт носит рекомендательный характер,3,Вердикт носит рекомендательный характеру,grammar
19,Вердикт носит рекомендательный характер,3,Вердикт носит рекомендательный январю,semantics_grammar
19,Вердикт носит рекомендательный характер,3,Вердикт носит рекомендательный характеру,grammar
20,Ветераны поддержали инициативу болельщиков,2,Ветераны поддержали инициативе болельщиков,grammar
20,Ветераны поддержали инициативу болельщиков,2,Ветераны поддержали инициативу болельщиков,no
20,Ветераны поддержали инициативу болельщиков,2,Ветераны поддержали милей болельщиков,semantics_grammar
20,Ветераны поддержали инициативу болельщиков,2,Ветераны поддержали милю болельщиков,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал местечка,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал месту,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал уха,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал уха,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал местечка,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал побережья,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал побережьем,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал чужом,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал обращению,grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал места,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал месту,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал лету,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал озере,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал болотами,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал болотами,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал лета,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал места,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал обращения,no
22,Владелец игнорировал обращения,2,Владелец игнорировал болота,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал озеро,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал озеро,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал лету,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал обращению,grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал озера,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал лета,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал болота,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал чужого,semantics
22,Владелец игнорировал обращения,2,Владелец игнорировал ухом,semantics_grammar
22,Владелец игнорировал обращения,2,Владелец игнорировал местечку,semantics_grammar
24,Владельцы подсчитывают сумму ущерба,2,Владельцы подсчитывают сумме ущерба,grammar
24,Владельцы подсчитывают сумму ущерба,2,Владельцы подсчитывают суммы ущерба,grammar
24,Владельцы подсчитывают сумму ущерба,2,Владельцы подсчитывают заря ущерба,semantics_grammar
24,Владельцы подсчитывают сумму ущерба,2,Владельцы подсчитывают суммы ущерба,grammar
24,Владельцы подсчитывают сумму ущерба,2,Владельцы подсчитывают зарю ущерба,semantics
24,Владельцы подсчитывают сумму ущерба,2,Владельцы подсчитывают сумму ущерба,no
24,Владельцы подсчитывают сумму ущерба,2,Владельцы подсчитывают заря ущерба,semantics_grammar
25,Власти запретили проведение митинга,2,Власти запретили проведение митинга,no
25,Власти запретили проведение митинга,2,Власти запретили детстве митинга,semantics_grammar
25,Власти запретили проведение митинга,2,Власти запретили проведению митинга,grammar
25,Власти запретили проведение митинга,2,Власти запретили проведению митинга,grammar
25,Власти запретили проведение митинга,2,Власти запретили проведению митинга,grammar
25,Власти запретили проведение митинга,2,Власти запретили детство митинга,semantics
25,Власти запретили проведение митинга,2,Власти запретили детстве митинга,semantics_grammar
25,Власти запретили проведение митинга,2,Власти запретили детстве митинга,semantics_grammar
26,Власти исключили версию теракта,2,Власти исключили областью теракта,semantics_grammar
26,Власти исключили версию теракта,2,Власти исключили версию теракта,no
26,Власти исключили версию теракта,2,Власти исключили версии теракта,grammar
26,Власти исключили версию теракта,2,Власти исключили область теракта,semantics
26,Власти исключили версию теракта,2,Демонстранты разбили утверждение автомобиля,semantics_grammar
26,Власти исключили версию теракта,2,Власти исключили охрану теракта,semantics
28,Власти подтвердили сообщение,2,Власти подтвердили сообщения,grammar
28,Власти подтвердили сообщение,2,Власти подтвердили сообщение,no
28,Власти подтвердили сообщение,2,Власти подтвердили поколение,semantics
28,Власти подтвердили сообщение,2,Власти подтвердили сообщения,grammar
28,Власти подтвердили сообщение,2,Власти подтвердили сообщению,grammar
28,Власти подтвердили сообщение,2,Власти подтвердили поколении,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали венец,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали досуг,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали образцу,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали образцу,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали истоке,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали истоке,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали элемент,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали мраморе,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали элемент,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали досуг,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали ансамбль,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали переплёт,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали исток,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали ансамблю,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали вестнике,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали ансамбль,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали совхоз,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали вестнике,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали инцидент,no
29,Власти прокомментировали инцидент,2,Власти прокомментировали образец,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали совхоз,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали труд,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали труд,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали переплёт,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали исток,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали элементе,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали элементе,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали образец,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали образец,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали вестник,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали трудом,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали инцидента,grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали совхоза,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали венец,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали образце,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали инцидента,grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали мрамор,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали венце,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали совхоза,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали мрамор,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали образцом,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали венце,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали пластик,semantics
29,Власти прокомментировали инцидент,2,Власти прокомментировали пластика,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали досуге,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали досуге,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали переплёте,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали переплёте,semantics_grammar
29,Власти прокомментировали инцидент,2,Власти прокомментировали мраморе,semantics_grammar
30,Водитель задел трехлетнего мальчика,3,Водитель задел трехлетнего заместителя,semantics
30,Водитель задел трехлетнего мальчика,3,Водитель задел трехлетнего заместитель,semantics_grammar
30,Водитель задел трехлетнего мальчика,3,Водитель задел трехлетнего заместитель,semantics_grammar
30,Водитель задел трехлетнего мальчика,3,Водитель задел трехлетнего мальчика,no
30,Водитель задел трехлетнего мальчика,3,Водитель задел трехлетнего мальчиком,grammar
31,Водитель нажал тревожную кнопку,3,Водитель нажал тревожную родине,semantics_grammar
31,Водитель нажал тревожную кнопку,3,Водитель нажал тревожную кнопку,no
31,Водитель нажал тревожную кнопку,3,Водитель нажал тревожную кнопки,grammar
31,Водитель нажал тревожную кнопку,3,Водитель нажал тревожную родине,semantics_grammar
31,Водитель нажал тревожную кнопку,3,Водитель нажал тревожную родину,semantics
31,Водитель нажал тревожную кнопку,3,Водитель нажал тревожную кнопки,grammar
32,Водитель управлял грузовиком,2,Водитель управлял уроком,semantics
32,Водитель управлял грузовиком,2,Водитель управлял грузовиком,no
32,Водитель управлял грузовиком,2,Водитель управлял урок,semantics_grammar
32,Водитель управлял грузовиком,2,Водитель управлял грузовика,grammar
32,Водитель управлял грузовиком,2,Водитель управлял грузовика,grammar
34,Военные открыли ответный огонь,3,Военные открыли ответный характер,semantics
34,Военные открыли ответный огонь,3,Военные открыли ответный огня,grammar
34,Военные открыли ответный огонь,3,Военные открыли ответный огня,grammar
34,Военные открыли ответный огонь,3,Военные открыли ответный характеру,semantics_grammar
34,Военные открыли ответный огонь,3,Военные открыли ответный огонь,no
35,Войска начали осаду крепости,2,Войска начали структуры крепости,semantics_grammar
35,Войска начали осаду крепости,2,Войска начали структура крепости,semantics_grammar
35,Войска начали осаду крепости,2,Войска начали осады крепости,grammar
35,Войска начали осаду крепости,2,Войска начали осаду крепости,no
35,Войска начали осаду крепости,2,Войска начали структуру крепости,semantics
35,Войска начали осаду крепости,2,Войска начали осады крепости,grammar
35,Войска начали осаду крепости,2,Войска начали структуры крепости,semantics_grammar
36,Войска осадили город,2,Войска осадили города,grammar
36,Войска осадили город,2,Войска осадили выпуск,semantics
38,Врачи извлекли пули,2,Врачи извлекли культура,semantics_grammar
38,Врачи извлекли пули,2,Врачи извлекли пулях,grammar
38,Врачи извлекли пули,2,Врачи извлекли культуре,semantics_grammar
38,Врачи извлекли пули,2,Врачи извлекли культуре,semantics_grammar
38,Врачи извлекли пули,2,Врачи извлекли общины,semantics
38,Врачи извлекли пули,2,Врачи извлекли культуре,semantics_grammar
38,Врачи извлекли пули,2,Врачи извлекли пули,no
38,Врачи извлекли пули,2,Врачи извлекли пули,no
38,Врачи извлекли пули,2,Врачи извлекли культуры,semantics
38,Врачи извлекли пули,2,Врачи извлекли культуру,semantics_grammar
39,Врачи извлекли пулю,2,Врачи извлекли культурой,semantics_grammar
39,Врачи извлекли пулю,2,Врачи извлекли пули,grammar
39,Врачи извлекли пулю,2,Врачи извлекли пули,grammar
39,Врачи извлекли пулю,2,Врачи извлекли культуру,semantics
39,Врачи извлекли пулю,2,Врачи извлекли культуре,semantics_grammar
39,Врачи извлекли пулю,2,Врачи извлекли пуле,grammar
39,Врачи извлекли пулю,2,Врачи извлекли культуре,semantics_grammar
39,Врачи извлекли пулю,2,Врачи извлекли культуре,semantics_grammar
39,Врачи извлекли пулю,2,Врачи извлекли пулю,no
40,Врачи назначили лечение,2,Врачи назначили государства,semantics_grammar
40,Врачи назначили лечение,2,Врачи назначили государстве,semantics_grammar
40,Врачи назначили лечение,2,Врачи назначили государство,semantics
40,Врачи назначили лечение,2,Врачи назначили лечения,grammar
40,Врачи назначили лечение,2,Врачи назначили лечения,grammar
40,Врачи назначили лечение,2,Врачи назначили государства,semantics_grammar
40,Врачи назначили лечение,2,Врачи назначили лечение,no
41,Врачи осмотрели мужчину,2,Врачи осмотрели создателя,semantics
41,Врачи осмотрели мужчину,2,Врачи осмотрели мужчину,no
41,Врачи осмотрели мужчину,2,Врачи осмотрели владимиром,semantics_grammar
41,Врачи осмотрели мужчину,2,Врачи осмотрели владимира,semantics
41,Врачи осмотрели мужчину,2,Врачи осмотрели создатель,semantics_grammar
41,Врачи осмотрели мужчину,2,Врачи осмотрели мужчины,grammar
42,Глава поддержал решение,2,Глава поддержал воспоминанию,semantics_grammar
42,Глава поддержал решение,2,Глава поддержал решении,grammar
42,Глава поддержал решение,2,Глава поддержал воспоминания,semantics_grammar
42,Глава поддержал решение,2,Глава поддержал воспоминание,semantics
42,Глава поддержал решение,2,Глава поддержал решение,no
42,Глава поддержал решение,2,Глава поддержал воспоминания,semantics_grammar
43,Голландцы обыграли американцев,2,Голландцы обыграли американцах,grammar
43,Голландцы обыграли американцев,2,Голландцы обыграли председатели,semantics_grammar
43,Голландцы обыграли американцев,2,Голландцы обыграли председателей,semantics
43,Голландцы обыграли американцев,2,Голландцы обыграли американцев,no
44,Гонщик разбил болид,2,Гонщик разбил болидом,grammar
45,Грабители забрали драгоценности,2,Грабители забрали драгоценности,no
45,Грабители забрали драгоценности,2,Грабители забрали интеграции,semantics
46,Грабитель забрал добычу,2,Грабитель забрал подпись,semantics
46,Грабитель забрал добычу,2,Грабитель забрал добычу,no
48,Девочка забросила школу,2,Девочка забросила школа,grammar
48,Девочка забросила школу,2,Девочка забросила середины,semantics_grammar
48,Девочка забросила школу,2,Девочка забросила середины,semantics_grammar
48,Девочка забросила школу,2,Девочка забросила середину,semantics
48,Девочка забросила школу,2,Девочка забросила середины,semantics_grammar
48,Девочка забросила школу,2,Девочка забросила школу,no
50,Девушка избегала тусовок,2,Девушка избегала тусовки,grammar
50,Девушка избегала тусовок,2,Девушка избегала радиосвязей,semantics
50,Девушка избегала тусовок,2,Девушка избегала целесообразностей,semantics
50,Девушка избегала тусовок,2,Девушка избегала координациям,semantics_grammar
50,Девушка избегала тусовок,2,Девушка избегала координаций,semantics
50,Девушка избегала тусовок,2,Девушка избегала тусовкам,grammar
50,Девушка избегала тусовок,2,Девушка избегала тусовок,no
53,Дедушка потерял память,2,Дедушка потерял поставку,semantics
53,Дедушка потерял память,2,Дедушка потерял поставке,semantics_grammar
53,Дедушка потерял память,2,Дедушка потерял память,no
53,Дедушка потерял память,2,Дедушка потерял памятью,grammar
53,Дедушка потерял память,2,Дедушка потерял памятью,grammar
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили установлением автомобиля,semantics_grammar
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили участие автомобиля,semantics
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили утверждении автомобиля,semantics_grammar
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили утверждение автомобиля,semantics
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили утверждению автомобиля,semantics_grammar
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили установление автомобиля,semantics
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили окно автомобиля,no
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили окну автомобиля,grammar
56,Демонстранты разбили окно автомобиля,2,Демонстранты разбили утверждением автомобиля,semantics_grammar
57,Депутаты поддержали требование граждан,2,Депутаты поддержали весле граждан,semantics_grammar
57,Депутаты поддержали требование граждан,2,Депутаты поддержали путешествие граждан,semantics
57,Депутаты поддержали требование граждан,2,Депутаты поддержали путешествию граждан,semantics_grammar
57,Депутаты поддержали требование граждан,2,Депутаты поддержали веслу граждан,semantics_grammar
