,congruent,base_sent,sent_corrected,length,structure,words,subject,verb,object,gen,adj,preposition,object2,subject_length,subject_lemma,subject_ipm,verb_length,verb_lemma,verb_ipm,object_length,object_lemma,object_ipm,gen_length,gen_lemma,gen_ipm,adj_length,adj_lemma,adj_ipm,preposition_length,preposition_lemma,preposition_ipm,object2_length,object2_lemma,object2_ipm
12,Адвокаты иллюзиониста полностью отрицают его вину .,Адвокаты отрицают вину,Адвокаты отрицают вину,3,Subject - Verb - Object,"['Адвокаты', 'отрицают', 'вину']",адвокаты,отрицают,вину,,,,,4,адвокат,,4,отрицать,,2,вина,,,,,,,,,,,,,
13,Кнопку тревожной сигнализации нажала администратор .,Администратор нажала кнопку,Администратор нажала кнопку сигнализации,4,Subject - Verb - Object - Gen,"['Администратор', 'нажала', 'кнопку', 'сигнализации']",администратор,нажала,кнопку,сигнализации,,,,5,администратор,,3,нажать,,2,кнопка,,6.0,сигнализация,,,,,,,,,,
14,Администрация острова начала поисково - спасательную операцию .,Администрация начала поисково,Администрация начала спасательную операцию,4,Subject - Verb - Adj - Object,"['Администрация', 'начала', 'спасательную', 'операцию']",администрация,начала,операцию,,спасательную,,,6,администрация,,3,начало,339.0359419839726,5,операция,,,,,5.0,спасательный,,,,,,,
15,Причин своего ухода активистка не назвала .,Активистка назвала причин,Активистка назвала причины ухода,4,Subject - Verb - Object - Gen,"['Активистка', 'назвала', 'причины', 'ухода']",активистка,назвала,причины,ухода,,,,4,активистка,,3,назвать,179.57538920919944,3,причина,240.54481509846545,3.0,уход,,,,,,,,,,
16,Активисты попросили убежища девять месяцев назад .,Активисты попросили убежища,Активисты попросили убежища,3,Subject - Verb - Object,"['Активисты', 'попросили', 'убежища']",активисты,попросили,убежища,,,,,4,активист,,4,попросить,109.03726191996677,4,убежище,,,,,,,,,,,,,
19,Альбом вызвал положительную реакцию критики .,Альбом вызвал реакцию,Альбом вызвал положительную реакцию,4,Subject - Verb - Adj - Object,"['Альбом', 'вызвал', 'положительную', 'реакцию']",альбом,вызвал,реакцию,,положительную,,,2,альбом,,2,вызвать,144.83109526179032,4,реакция,,,,,6.0,положительный,42.77740971941579,,,,,,
20,Альбом получил множество восторженных отзывов прессы .,Альбом получил множество,Альбом получил множество отзывов,4,Subject - Verb - Object - Gen,"['Альбом', 'получил', 'множество', 'отзывов']",альбом,получил,множество,отзывов,,,,2,альбом,,3,получить,552.8909435766419,3,множество,121.84271076530317,3.0,отзыв,,,,,,,,,,
21,Альбом получил преимущественно положительные отзывы критиков .,Альбом получил отзывы,Альбом получил положительные отзывы,4,Subject - Verb - Adj - Object,"['Альбом', 'получил', 'положительные', 'отзывы']",альбом,получил,отзывы,,положительные,,,2,альбом,,3,получить,552.8909435766419,3,отзыв,,,,,6.0,положительный,42.77740971941579,,,,,,
22,Альбом получил в целом положительные отзывы критиков .,Альбом получил отзывы,Альбом получил положительные отзывы,4,Subject - Verb - Adj - Object,"['Альбом', 'получил', 'положительные', 'отзывы']",альбом,получил,отзывы,,положительные,,,2,альбом,,3,получить,552.8909435766419,3,отзыв,,,,,6.0,положительный,42.77740971941579,,,,,,
23,Американцы опасаются лишь террористов - самоубийц .,Американцы опасаются террористов,Американцы опасаются террористов,3,Subject - Verb - Object,"['Американцы', 'опасаются', 'террористов']",американцы,опасаются,террористов,,,,,5,американец,,5,опасаться,,4,террорист,,,,,,,,,,,,,
24,Англичанин схватил нож и ранил россиянина .,Англичанин ранил россиянина,Англичанин ранил россиянина,3,Subject - Verb - Object,"['Англичанин', 'ранил', 'россиянина']",англичанин,ранил,россиянина,,,,,4,англичанин,,2,ранить,,5,россиянин,,,,,,,,,,,,,
25,Англичанин схватил нож и ранил россиянина .,Англичанин схватил нож,Англичанин схватил нож,3,Subject - Verb - Object,"['Англичанин', 'схватил', 'нож']",англичанин,схватил,нож,,,,,4,англичанин,,2,схватить,76.9582105059561,1,нож,,,,,,,,,,,,,
26,Волгоградские артиллеристы уже подготовили орудия .,Артиллеристы подготовили орудия,Артиллеристы подготовили орудия,3,Subject - Verb - Object,"['Артиллеристы', 'подготовили', 'орудия']",артиллеристы,подготовили,орудия,,,,,5,артиллерист,,5,подготовить,,4,орудие,,,,,,,,,,,,,
27,Перенос премьеры прокомментировали артисты Большого .,Артисты прокомментировали перенос,Артисты прокомментировали перенос премьеры,4,Subject - Verb - Object - Gen,"['Артисты', 'прокомментировали', 'перенос', 'премьеры']",артисты,прокомментировали,перенос,премьеры,,,,3,артист,,7,прокомментировать,,3,перенос,,3.0,премьера,,,,,,,,,,
28,Перенос премьеры прокомментировали артисты Большого .,Артисты прокомментировали перенос,Артисты прокомментировали перенос премьеры,4,Subject - Verb - Object - Gen,"['Артисты', 'прокомментировали', 'перенос', 'премьеры']",артисты,прокомментировали,перенос,премьеры,,,,3,артист,,7,прокомментировать,,3,перенос,,3.0,премьера,,,,,,,,,,
29,Археологи обнаружили останки неизвестного монаха .,Археологи обнаружили останки,Археологи обнаружили останки монаха,4,Subject - Verb - Object - Gen,"['Археологи', 'обнаружили', 'останки', 'монаха']",археологи,обнаружили,останки,монаха,,,,5,археолог,,5,обнаружить,93.24342991343502,3,останки,,3.0,монах,,,,,,,,,,
30,Атлеты получили крупные денежные премии .,Атлеты получили премии,Атлеты получили денежные премии,4,Subject - Verb - Adj - Object,"['Атлеты', 'получили', 'денежные', 'премии']",атлеты,получили,премии,,денежные,,,3,атлет,,4,получить,552.8909435766419,3,премия,,,,,4.0,денежный,38.61396972986846,,,,,,
31,Атлеты получили крупные денежные премии .,Атлеты получили премии,Атлеты получили денежные премии,4,Subject - Verb - Adj - Object,"['Атлеты', 'получили', 'денежные', 'премии']",атлеты,получили,премии,,денежные,,,3,атлет,,4,получить,552.8909435766419,3,премия,,,,,4.0,денежный,38.61396972986846,,,,,,
33,Кроме того барабанщик Мак Пул покинул группу .,Барабанщик покинул группу,Барабанщик покинул группу,3,check me,"['Барабанщик', 'покинул', 'группу']",барабанщик,покинул,группу,,,,,4,барабанщик,,3,покинуть,,2,группа,253.96449819498588,,,,,,,,,,,,
34,Бастующие требуют повышения заработной платы .,Бастующие требуют повышения,Бастующие требуют повышения зарплаты,4,Subject - Verb - Object - Gen,"['Бастующие', 'требуют', 'повышения', 'зарплаты']",бастующие,требуют,повышения,зарплаты,,,,5,бастовать,,3,требовать,214.79504705535095,5,повышение,,3.0,зарплата,,,,,,,,,,
35,Бастующие требуют повышения заработной платы .,Бастующие требуют повышения,Бастующие требуют повышения зарплаты,4,Subject - Verb - Object - Gen,"['Бастующие', 'требуют', 'повышения', 'зарплаты']",бастующие,требуют,повышения,зарплаты,,,,5,бастовать,,3,требовать,214.79504705535095,5,повышение,,3.0,зарплата,,,,,,,,,,
36,Все бельгийцы разделяют эту безмерную скорбь .,Бельгийцы разделяют скорбь,Бельгийцы разделяют безмерную скорбь,4,Subject - Verb - Adj - Object,"['Бельгийцы', 'разделяют', 'безмерную', 'скорбь']",бельгийцы,разделяют,скорбь,,безмерную,,,3,бельгиец,,4,разделять,,1,скорбь,,,,,4.0,безмерный,,,,,,,
37,Все бельгийцы разделяют эту безмерную скорбь .,Бельгийцы разделяют скорбь,Бельгийцы разделяют безмерную скорбь,4,Subject - Verb - Adj - Object,"['Бельгийцы', 'разделяют', 'безмерную', 'скорбь']",бельгийцы,разделяют,скорбь,,безмерную,,,3,бельгиец,,4,разделять,,1,скорбь,,,,,4.0,безмерный,,,,,,,
38,Сам бизнесмен эти обвинения отрицал .,Бизнесмен отрицал обвинения,Бизнесмен отрицал обвинения,3,Subject - Verb - Object,"['Бизнесмен', 'отрицал', 'обвинения']",бизнесмен,отрицал,обвинения,,,,,3,бизнесмен,,3,отрицать,,5,обвинение,,,,,,,,,,,,,
39,Бизнесмен по поддельным документам оформил налоговый вычет .,Бизнесмен оформил вычет,Бизнесмен оформил налоговый вычет,4,Subject - Verb - Adj - Object,"['Бизнесмен', 'оформил', 'налоговый', 'вычет']",бизнесмен,оформил,вычет,,налоговый,,,3,бизнесмен,,3,оформить,,2,вычет,,,,,4.0,налоговый,,,,,,,
40,Боевики разрушили десятки христианских церквей .,Боевики разрушили десятки,Боевики разрушили десятки церквей,4,Subject - Verb - Object - Gen,"['Боевики', 'разрушили', 'десятки', 'церквей']",боевики,разрушили,десятки,церквей,,,,4,боевик,,4,разрушить,,3,десятка,,2.0,церковь,293.1820198412351,,,,,,,,,
41,Болельщики раскритиковали спортсменку за ее поступок .,Болельщики раскритиковали спортсменку,Болельщики раскритиковали спортсменку,3,Subject - Verb - Object,"['Болельщики', 'раскритиковали', 'спортсменку']",болельщики,раскритиковали,спортсменку,,,,,4,болельщик,,6,раскритиковать,,3,спортсменка,,,,,,,,,,,,,
42,"Больные ощущают общую слабость , головокружение .",Больные ощущают слабость,Больные ощущают общую слабость,4,Subject - Verb - Adj - Object,"['Больные', 'ощущают', 'общую', 'слабость']",больные,ощущают,слабость,,общую,,,3,больной,101.00414614796009,4,ощущать,,2,слабость,,,,,3.0,общий,468.062522904428,,,,,,
43,Большинство из них разрабатывают социальную проблематику .,Большинство разрабатывают проблематику,Большинство разрабатывают социальную проблематику,4,Subject - Verb - Adj - Object,"['Большинство', 'разрабатывают', 'социальную', 'проблематику']",большинство,разрабатывают,проблематику,,социальную,,,3,большинство,140.37656164885576,6,разрабатывать,,5,проблематика,,,,,5.0,социальный,130.21232008361062,,,,,,
44,Ранее трое других браконьеров также убили лося .,Браконьеров убили лося,Браконьеры убили лося,3,Subject - Verb - Object,"['Браконьеры', 'убили', 'лося']",браконьеры,убили,лося,,,,,4,браконьер,,3,убить,198.04514608393285,2,лось,,,,,,,,,,,,,
45,Вандалы уничтожили центральную часть таблички .,Вандалы уничтожили часть,Вандалы уничтожили часть таблички,4,Subject - Verb - Object - Gen,"['Вандалы', 'уничтожили', 'часть', 'таблички']",вандалы,уничтожили,часть,таблички,,,,3,вандал,,5,уничтожить,53.77754398301135,1,часть,613.1660177036999,3.0,табличка,,,,,,,,,,
46,Ведомство подтвердило наличие незаконной свалки .,Ведомство подтвердило наличие,Ведомство подтвердило наличие свалки,4,Subject - Verb - Object - Gen,"['Ведомство', 'подтвердило', 'наличие', 'свалки']",ведомство,подтвердило,наличие,свалки,,,,3,ведомство,,4,подтвердить,,4,наличие,,2.0,свалка,,,,,,,,,,
47,Для властей города вердикт носит рекомендательный характер .,Вердикт носит характер,Вердикт носит рекомендательный характер,4,Subject - Verb - Adj - Object,"['Вердикт', 'носит', 'рекомендательный', 'характер']",вердикт,носит,характер,,рекомендательный,,,2,вердикт,,2,носить,122.820144399796,3,характер,202.9910670978146,,,,6.0,рекомендательный,,,,,,,
48,Однако ветер немного подпортит весеннее настроение .,Ветер подпортит настроение,Ветер подпортит весеннее настроение,4,Subject - Verb - Adj - Object,"['Ветер', 'подпортит', 'весеннее', 'настроение']",ветер,подпортит,настроение,,весеннее,,,2,ветер,184.6895569962316,3,подпортить,,5,настроение,99.36173717196804,,,,4.0,весенний,33.16864956393708,,,,,,
49,Инициативу болельщиков поддержали ветераны клуба .,Ветераны поддержали инициативу,Ветераны поддержали инициативу болельщиков,4,Subject - Verb - Object - Gen,"['Ветераны', 'поддержали', 'инициативу', 'болельщиков']",ветераны,поддержали,инициативу,болельщиков,,,,4,ветеран,,4,поддержать,,6,инициатива,,4.0,болельщик,,,,,,,,,,
50,Таинственные взрывы сотрясают весь город .,Взрывы сотрясают город,Взрывы сотрясают город,3,Subject - Verb - Object,"['Взрывы', 'сотрясают', 'город']",взрывы,сотрясают,город,,,,,2,взрыв,,4,сотрясать,,2,город,737.3054304516912,,,,,,,,,,,,
51,Но владелец магазина все обращения игнорировал .,Владелец игнорировал обращения,Владелец игнорировал обращения,3,Subject - Verb - Object,"['Владелец', 'игнорировал', 'обращения']",владелец,игнорировал,обращения,,,,,3,владелец,,5,игнорировать,,5,обращение,,,,,,,,,,,,,
52,Но владелец магазина все обращения игнорировал .,Владелец игнорировал обращения,Владелец игнорировал обращения,3,Subject - Verb - Object,"['Владелец', 'игнорировал', 'обращения']",владелец,игнорировал,обращения,,,,,3,владелец,,5,игнорировать,,5,обращение,,,,,,,,,,,,,
53,Новый владелец получил доступ к чужим финансам .,Владелец получил доступ,Владелец получил доступ к финансам,5,Subject - Verb - Object - PP,"['Владелец', 'получил', 'доступ', 'к', 'финансам']",владелец,получил,доступ,,,к,финансам,3,владелец,,3,получить,552.8909435766419,2,доступ,,,,,,,,0.0,к,,3.0,финансы,
54,При этом владелец требовал предоплату за год .,Владелец требовал предоплату,Владелец требовал предоплату за год,5,Subject - Verb - Object - PP,"['Владелец', 'требовал', 'предоплату', 'за', 'год']",владелец,требовал,предоплату,,,за,год,3,владелец,,3,требовать,214.79504705535095,4,предоплата,,,,,,,,1.0,за,,1.0,год,2955.874145805458
55,Владелица автомобиля оставила ему ключи от машины .,Владелица оставила ключи,Владелица оставила ключи,3,Subject - Verb - Object,"['Владелица', 'оставила', 'ключи']",владелица,оставила,ключи,,,,,4,владелица,,4,оставить,273.89506435405696,2,ключ,,,,,,,,,,,,,
56,Сумму ущерба подсчитывают владельцы пострадавшего павильона .,Владельцы подсчитывают сумму,Владельцы подсчитывают сумму ущерба,4,Subject - Verb - Object - Gen,"['Владельцы', 'подсчитывают', 'сумму', 'ущерба']",владельцы,подсчитывают,сумму,ущерба,,,,3,владелец,,5,подсчитывать,,2,сумма,,3.0,ущерб,,,,,,,,,,
58,Их местонахождение власти держали в тайне .,Власти держали местонахождение,Власти держали местонахождение в тайне,5,Subject - Verb - Object - PP,"['Власти', 'держали', 'местонахождение', 'в', 'тайне']",власти,держали,местонахождение,,,в,тайне,2,власть,358.6754145196565,3,держать,206.0649089374355,7,местонахождение,,,,,,,,0.0,в,,2.0,тайна,
59,Ранее городские власти запретили проведение митинга .,Власти запретили проведение,Власти запретили проведение митинга,4,Subject - Verb - Object - Gen,"['Власти', 'запретили', 'проведение', 'митинга']",власти,запретили,проведение,митинга,,,,2,власть,358.6754145196565,4,запретить,,5,проведение,,3.0,митинг,,,,,,,,,,
60,Власти сразу же исключили версию теракта .,Власти исключили версию,Власти исключили версию теракта,4,Subject - Verb - Object - Gen,"['Власти', 'исключили', 'версию', 'теракта']",власти,исключили,версию,теракта,,,,2,власть,358.6754145196565,4,исключить,,3,версия,,3.0,теракт,,,,,,,,,,
61,Власти не озвучивают конкретные пути решения проблемы .,Власти озвучивают пути,Власти озвучивают пути решения,4,Subject - Verb - Object - Gen,"['Власти', 'озвучивают', 'пути', 'решения']",власти,озвучивают,пути,решения,,,,2,власть,358.6754145196565,5,озвучивать,,2,путь,423.284845993113,4.0,решение,238.70745351231497,,,,,,,,,
62,Однако местные власти эту информацию опровергли .,Власти опровергли информацию,Власти опровергли информацию,3,Subject - Verb - Object,"['Власти', 'опровергли', 'информацию']",власти,опровергли,информацию,,,,,2,власть,358.6754145196565,4,опровергнуть,,5,информация,115.45200396928855,,,,,,,,,,,,
63,После допроса власти города отпустили пилота .,Власти отпустили пилота,Власти отпустили пилота,3,Subject - Verb - Object,"['Власти', 'отпустили', 'пилота']",власти,отпустили,пилота,,,,,2,власть,358.6754145196565,4,отпустить,62.10175337840521,3,пилот,,,,,,,,,,,,,
64,Украинские власти отрицают такие обвинения .,Власти отрицают обвинения,Власти отрицают обвинения,3,Subject - Verb - Object,"['Власти', 'отрицают', 'обвинения']",власти,отрицают,обвинения,,,,,2,власть,358.6754145196565,4,отрицать,,5,обвинение,,,,,,,,,,,,,
65,Кубинские власти подтвердили это сообщение .,Власти подтвердили сообщение,Власти подтвердили сообщение,3,Subject - Verb - Object,"['Власти', 'подтвердили', 'сообщение']",власти,подтвердили,сообщение,,,,,2,власть,358.6754145196565,4,подтвердить,,5,сообщение,,,,,,,,,,,,,
66,Индийские власти также прокомментировали инцидент .,Власти прокомментировали инцидент,Власти прокомментировали инцидент,3,Subject - Verb - Object,"['Власти', 'прокомментировали', 'инцидент']",власти,прокомментировали,инцидент,,,,,2,власть,358.6754145196565,7,прокомментировать,,3,инцидент,,,,,,,,,,,,,
67,Власти региона пока не прокомментировали инцидент .,Власти прокомментировали инцидент,Власти прокомментировали инцидент,3,Subject - Verb - Object,"['Власти', 'прокомментировали', 'инцидент']",власти,прокомментировали,инцидент,,,,,2,власть,358.6754145196565,7,прокомментировать,,3,инцидент,,,,,,,,,,,,,
68,Власти региона пока не прокомментировали инцидент .,Власти прокомментировали инцидент,Власти прокомментировали инцидент,3,Subject - Verb - Object,"['Власти', 'прокомментировали', 'инцидент']",власти,прокомментировали,инцидент,,,,,2,власть,358.6754145196565,7,прокомментировать,,3,инцидент,,,,,,,,,,,,,
69,Японские власти прорабатывают детали визита .,Власти прорабатывают детали,Власти прорабатывают детали визита,4,Subject - Verb - Object - Gen,"['Власти', 'прорабатывают', 'детали', 'визита']",власти,прорабатывают,детали,визита,,,,2,власть,358.6754145196565,6,прорабатывать,,3,деталь,,3.0,визит,,,,,,,,,,
70,Существенное влияние на атмосферу оказывает автотранспорт .,Влияние оказывает автотранспорт,Автотранспорт оказывает существенное влияние,4,Subject - Verb - Adj - Object,"['Автотранспорт', 'оказывает', 'существенное', 'влияние']",автотранспорт,оказывает,влияние,,существенное,,,4,автотранспорт,,5,оказывать,,4,влияние,137.9409893137261,,,,5.0,существенный,51.94285298056169,,,,,,
71,Существенное влияние на атмосферу оказывает автотранспорт .,Влияние оказывает автотранспорт,Автотранспорт оказывает влияние на атмосферу,5,Subject - Verb - Object - PP,"['Автотранспорт', 'оказывает', 'влияние', 'на', 'атмосферу']",автотранспорт,оказывает,влияние,,,на,атмосферу,4,автотранспорт,,5,оказывать,,4,влияние,137.9409893137261,,,,,,,1.0,на,,4.0,атмосфера,
72,Водитель экипажа задел трехлетнего мальчика передним бампером .,Водитель задел мальчика,Водитель задел трехлетнего мальчика,4,Subject - Verb - Adj - Object,"['Водитель', 'задел', 'трехлетнего', 'мальчика']",водитель,задел,мальчика,,трехлетнего,,,3,водитель,,2,задеть,,3,мальчик,183.9124171392988,,,,4.0,трёхлетний,,,,,,,
73,Водитель скорой сразу нажал тревожную кнопку .,Водитель нажал кнопку,Водитель нажал тревожную кнопку,4,Subject - Verb - Adj - Object,"['Водитель', 'нажал', 'тревожную', 'кнопку']",водитель,нажал,кнопку,,тревожную,,,3,водитель,,2,нажать,,2,кнопка,,,,,4.0,тревожный,,,,,,,
74,Водитель управлял грузовиком только в городской черте .,Водитель управлял грузовиком,Водитель управлял грузовиком,3,Subject - Verb - Object,"['Водитель', 'управлял', 'грузовиком']",водитель,управлял,грузовиком,,,,,3,водитель,,3,управлять,52.3354287845793,4,грузовик,,,,,,,,,,,,,
75,Российские военнослужащие открывали ответный огонь .,Военнослужащие открывали огонь,Военнослужащие открывали ответный огонь,4,Subject - Verb - Adj - Object,"['Военнослужащие', 'открывали', 'ответный', 'огонь']",военнослужащие,открывали,огонь,,ответный,,,7,военнослужащий,,4,открывать,69.71558750938627,2,огонь,199.3884496854353,,,,3.0,ответный,,,,,,,
76,Американские военные открыли ответный огонь .,Военные открыли огонь,Военные открыли ответный огонь,4,Subject - Verb - Adj - Object,"['Военные', 'открыли', 'ответный', 'огонь']",военные,открыли,огонь,,ответный,,,4,военный,264.77769159952544,3,открыть,208.18001122846917,2,огонь,199.3884496854353,,,,3.0,ответный,,,,,,,
77,Израильские военные открыли ответный огонь .,Военные открыли огонь,Военные открыли ответный огонь,4,Subject - Verb - Adj - Object,"['Военные', 'открыли', 'ответный', 'огонь']",военные,открыли,огонь,,ответный,,,4,военный,264.77769159952544,3,открыть,208.18001122846917,2,огонь,199.3884496854353,,,,3.0,ответный,,,,,,,
78,Гражданская война нанесла огромный ущерб наблюдательной сети .,Война нанесла ущерб,Война нанесла огромный ущерб,4,Subject - Verb - Adj - Object,"['Война', 'нанесла', 'огромный', 'ущерб']",война,нанесла,ущерб,,огромный,,,2,война,416.68850425213674,3,нанести,,2,ущерб,,,,,3.0,огромный,269.45655424332716,,,,,,
79,Гражданская война нанесла огромный ущерб наблюдательной сети .,Война нанесла ущерб,Война нанесла огромный ущерб,4,Subject - Verb - Adj - Object,"['Война', 'нанесла', 'огромный', 'ущерб']",война,нанесла,ущерб,,огромный,,,2,война,416.68850425213674,3,нанести,,2,ущерб,,,,,3.0,огромный,269.45655424332716,,,,,,
81,Их войска осадили город и обложили окрестности .,Войска осадили город,Войска осадили город,3,Subject - Verb - Object,"['Войска', 'осадили', 'город']",войска,осадили,город,,,,,2,войско,,4,осадить,,2,город,737.3054304516912,,,,,,,,,,,,
82,Их войска осадили город и обложили окрестности .,Войска осадили город,Войска осадили город,3,Subject - Verb - Object,"['Войска', 'осадили', 'город']",войска,осадили,город,,,,,2,войско,,4,осадить,,2,город,737.3054304516912,,,,,,,,,,,,
83,Войска последнего уничтожили город и его население .,Войска уничтожили город,Войска уничтожили город,3,Subject - Verb - Object,"['Войска', 'уничтожили', 'город']",войска,уничтожили,город,,,,,2,войско,,5,уничтожить,53.77754398301135,2,город,737.3054304516912,,,,,,,,,,,,
84,Воспитывала будущую артистку только мать .,Воспитывала мать,Мать воспитывала будущую артистку,4,Subject - Verb - Adj - Object,"['Мать', 'воспитывала', 'будущую', 'артистку']",мать,воспитывала,артистку,,будущую,,,1,мать,391.6597938082383,5,воспитывать,,3,артистка,,,,,4.0,будущий,112.60249116053488,,,,,,
85,В Свердловской области врачи бьют тревогу .,Врачи бьют тревогу,Врачи бьют тревогу,3,Subject - Verb - Object,"['Врачи', 'бьют', 'тревогу']",врачи,бьют,тревогу,,,,,2,врач,136.60836804702683,1,бить,126.31059729674172,3,тревога,,,,,,,,,,,,,
86,А прибывшие врачи госпитализировали пострадавшего .,Врачи госпитализировали пострадавшего,Врачи госпитализировали пострадавшего,3,Subject - Verb - Object,"['Врачи', 'госпитализировали', 'пострадавшего']",врачи,госпитализировали,пострадавшего,,,,,2,врач,136.60836804702683,8,госпитализировать,,5,пострадать,,,,,,,,,,,,,
87,Врачи диагностировали у них пищевое отравление .,Врачи диагностировали отравление,Врачи диагностировали пищевое отравление,4,Subject - Verb - Adj - Object,"['Врачи', 'диагностировали', 'пищевое', 'отравление']",врачи,диагностировали,отравление,,пищевое,,,2,врач,136.60836804702683,7,диагностировать,,5,отравление,,,,,4.0,пищевой,,,,,,,
88,Врачи извлекли пули из ног животного .,Врачи извлекли пули,Врачи извлекли пули,3,Subject - Verb - Object,"['Врачи', 'извлекли', 'пули']",врачи,извлекли,пули,,,,,2,врач,136.60836804702683,3,извлечь,,2,пуля,,,,,,,,,,,,,
90,Врачи извлекли пулю из ноги .,Врачи извлекли пулю,Врачи извлекли пулю,3,Subject - Verb - Object,"['Врачи', 'извлекли', 'пулю']",врачи,извлекли,пулю,,,,,2,врач,136.60836804702683,3,извлечь,,2,пуля,,,,,,,,,,,,,
91,Врачи назначили ему лечение на дому .,Врачи назначили лечение,Врачи назначили лечение на дому,5,Subject - Verb - Object - PP,"['Врачи', 'назначили', 'лечение', 'на', 'дому']",врачи,назначили,лечение,,,на,дому,2,врач,136.60836804702683,4,назначить,110.2684010060356,4,лечение,,,,,,,,1.0,на,,2.0,дом,849.160158176002
92,Врачи назначили ему лечение на дому .,Врачи назначили лечение,Врачи назначили лечение,3,Subject - Verb - Object,"['Врачи', 'назначили', 'лечение']",врачи,назначили,лечение,,,,,2,врач,136.60836804702683,4,назначить,110.2684010060356,4,лечение,,,,,,,,,,,,,
93,Мужчину осмотрели врачи скорой помощи .,Врачи осмотрели мужчину,Врачи осмотрели мужчину,3,Subject - Verb - Object,"['Врачи', 'осмотрели', 'мужчину']",врачи,осмотрели,мужчину,,,,,2,врач,136.60836804702683,4,осмотреть,,3,мужчина,175.95674829461532,,,,,,,,,,,,
94,Мужчину осмотрели врачи скорой помощи .,Врачи осмотрели мужчину,Врачи осмотрели мужчину,3,Subject - Verb - Object,"['Врачи', 'осмотрели', 'мужчину']",врачи,осмотрели,мужчину,,,,,2,врач,136.60836804702683,4,осмотреть,,3,мужчина,175.95674829461532,,,,,,,,,,,,
95,Это заявление президента подтвердили и врачи .,Врачи подтвердили заявление,Врачи подтвердили заявление президента,4,Subject - Verb - Object - Gen,"['Врачи', 'подтвердили', 'заявление', 'президента']",врачи,подтвердили,заявление,президента,,,,2,врач,136.60836804702683,4,подтвердить,,5,заявление,,4.0,президент,119.71425555576548,,,,,,,,,
